source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Libya Review,en,UNSMIL Supports Libya’s National Anti-Corruption Strategy,,https://libyareview.com/60083/unsmil-supports-libyas-national-anti-corruption-strategy/,2026-06-17,https://libyareview.com/?s=UNSMIL+Libya,Libya’s Audit Bureau and the United Nations Support Mission in Libya (UNSMIL) held high-level talks in Tripoli on Wednesday to ...,United Nations,Other UN News,in_range,accepted,keyword_match:libya,96,HIGH,Tier 2,unique,story-026,approved,review_queue_recovered:article_text; narrative_type=reaction_support; theme=Other UN News; marker=unsmil,,approved,Date missing or uncertain; not approved automatically; date recovered during review queue recovery,yes,libya_review:https://libyareview.com/60083/unsmil-supports-libyas-national-anti-corruption-strategy/,libya_review,missing_date; contextual_pass=section_coverage:United Nations
Libya Update,en,General Saddam Haftar meets Greek Prime Minister in Athens to discuss cooperation and illegal migration,,https://libyaupdate.com/general-saddam-haftar-meets-greek-prime-minister-in-athens-to-discuss-cooperation-and-illegal-migration/,2026-06-16,https://libyaupdate.com/news/,"Lieutenant General Saddam Haftar, Deputy Commander of the Libyan Armed Forces, met with Greek Prime Minister Kyriakos Mitsotakis in Athens during an official vi",Migration,Migration Policy,in_range,accepted,editorial_score:92; section:Migration; marker:migration,92,HIGH,B,unique,story-020,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_update:https://libyaupdate.com/general-saddam-haftar-meets-greek-prime-minister-in-athens-to-discuss-cooperation-and-illegal-migration/,generic_list,
Al Sabaah,ar,الأمم المتحدة تؤكد على ضرورة إشراك الشباب في صناعة القرار - منصة الصباح,,https://alsabaah.ly/%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%aa%d8%a4%d9%83%d8%af-%d8%b9%d9%84%d9%89-%d8%b6%d8%b1%d9%88%d8%b1%d8%a9-%d8%a5%d8%b4%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%b4/,2026-06-17,https://alsabaah.ly/?s=UNSMIL+Libya,اكدت البعثة الأممية انها فيما تحتفل والعالم أجمع باليوم العالمي للشباب الذي يصادف 12 أغسطس من كل عام فانها تحث القادة السياسيين في ليبيا على وضع آليات عملية لإشراك الشباب في عملية صناعة القرار مشددة على الاستجابة لمطالبهم بشأن الانتخابات والنمو الاقتصادي، موضحة أنهم الفئة الأكثر تضررا من الأزمة التي طال أمدها، وفق بيان أصدرته …,United Nations,Other UN News,in_range,accepted,keyword_match:libya,92,HIGH,Tier 1,unique,story-032,approved,raw_candidate_promoted:section=Politics; subsection=Political Process; date=article_text; narrative_type=reaction_support; marker=انتخابات,,approved,Publication date outside target window; promoted during raw-candidate editorial review,yes,al_sabaah:https://alsabaah.ly/%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%aa%d8%a4%d9%83%d8%af-%d8%b9%d9%84%d9%89-%d8%b6%d8%b1%d9%88%d8%b1%d8%a9-%d8%a5%d8%b4%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%b4/,generic_list,outside_date_window; contextual_pass=section_coverage:United Nations
Ean Libya,ar,البعثة الأممية تعقد اجتماعاً افتراضياً لملتقى الحوار الأسبوع القادم,,https://www.eanlibya.com/%d8%a7%d9%84%d8%a8%d8%b9%d8%ab%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d9%85%d9%8a%d8%a9-%d8%aa%d8%b9%d9%82%d8%af-%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9%d8%a7%d9%8b-%d8%a7%d9%81%d8%aa%d8%b1%d8%a7%d8%b6%d9%8a/,2026-06-17,https://www.eanlibya.com/?s=UNSMIL+Libya,أعلنت بعثة الأمم المتحدة للدعم في ليبيا، اليوم الخميس، عن تيسير اجتماع افتراضي لملتقى الحوار السياسي الليبي، يوم الأربعاء القادم….,Politics,Political Process,in_range,accepted,keyword_match:ليبيا,92,HIGH,Tier 1,unique,story-031,approved,raw_candidate_promoted:section=Politics; subsection=Political Process; date=article_text; narrative_type=reaction_support; marker=حوار,,approved,Publication date outside target window; promoted during raw-candidate editorial review,yes,ean_libya:https://www.eanlibya.com/%d8%a7%d9%84%d8%a8%d8%b9%d8%ab%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d9%85%d9%8a%d8%a9-%d8%aa%d8%b9%d9%82%d8%af-%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9%d8%a7%d9%8b-%d8%a7%d9%81%d8%aa%d8%b1%d8%a7%d8%b6%d9%8a/,ean_libya,outside_date_window; contextual_pass=section_coverage:United Nations
Libya Observer,en,"Libya, Iraq discuss education cooperation MoU",,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,2026-06-16,https://libyaobserver.ly/news,"Libyan Education Minister Mohamed Al-Qriyo and Iraqi Chargé d’Affaires Ahmed Al-Sahhaf discussed drafting a memorandum of understanding to strengthen cooperation in training and curriculum development. During a meeting at the ministry on Monday, the two sides reviewed cooperation in educational staff development, as well as cultural and student exchanges. Al-Qriyo also presented the ministry’s vision for advancing interactive and digital education.",Economy & Energy,Banking & Finance,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:central bank,91,HIGH,A,unique,story-004,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,libya_observer,
Libya Observer,en,"Saddam Haftar, Greek PM review military and economic cooperation",,https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,2026-06-16,https://libyaobserver.ly/news,"Deputy Commander-in-Chief of Haftar’s forces Saddam Haftar met with Greek Prime Minister Kyriakos Mitsotakis in Athens on Monday to discuss ways to strengthen military and economic ties between the two countries. According to a statement from the media office of Haftar’s forces, the talks covered cooperation in the security, military, and economic sectors, as well as several regional and international issues of mutual concern.",Economy & Energy,Banking & Finance,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:central bank,91,HIGH,A,unique,story-005,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,libya_observer,
Libya Observer,en,"French Ambassador, Khaled Haftar hold talks on military cooperation in Benghazi",,https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,2026-06-16,https://libyaobserver.ly/news,"French Ambassador to Libya Thierry Vallat and Khaled Haftar, Chief of Staff of Haftar’s forces, held what the French Embassy described as “productive and candid” talks in Benghazi, focusing on prospects for expanding military cooperation between the two countries. According to a statement posted by the embassy, France reaffirmed its support for efforts to unify Libya’s armed forces and reiterated its call for the withdrawal of foreign fighters and forces from the country as part of broader efforts to promote stability.",Economy & Energy,Banking & Finance,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:central bank,91,HIGH,A,unique,story-006,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,libya_observer,
Libya Observer,en,"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts",,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,2026-06-16,https://libyaobserver.ly/news,"Russian Ambassador to Libya Aydar Aganin and Deputy Special Representative of the UN Secretary-General for Libya Stephanie Koury held talks on the UN-led political process, focusing on the outcomes of the structured dialogue and prospects for implementing Libya’s political roadmap. The meeting, held Sunday at the UN mission headquarters in Benghazi, also reviewed the latest political, economic, and security developments, according to statements from both the Russian Embassy and the UN Support Mission in Libya.",Economy & Energy,Banking & Finance,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:central bank,91,HIGH,A,unique,story-007,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,libya_observer,
Libya Observer,en,Protesters shut down IOM office in Tripoli over migration policies,,https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,2026-06-16,https://libyaobserver.ly/news,"Protesters on Tuesday shut down the official office of the International Organization for Migration (IOM) in Tripoli, in protest against the way illegal migration is being managed and what they describe as efforts to “resettle migrants” in Libya.",Economy & Energy,Banking & Finance,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:central bank,91,HIGH,A,unique,story-008,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,libya_observer,
Libya Observer,en,Delegations arrive in Tripoli for African petroleum training forum,,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,2026-06-16,https://libyaobserver.ly/news,"Delegations have begun arriving in Tripoli to take part in the fourth training officials’ forum of the African Petroleum Producers’ Organization (APPO), due to open on Wednesday. The event will bring together training officials, experts and specialists from member states to discuss capacity building in the energy sector.",Economy & Energy,Banking & Finance,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:central bank,91,HIGH,A,unique,story-009,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,libya_observer,
