primary_theme,coverage_dimension,searched,sources_searched,search_terms,approved_matches,review_matches,raw_matches,status
Structured Dialogue,event,yes,Libya Review,structured dialogue; dialogue recommendations; executive authority proposals; constitutional basis; latest; update; development; تطور,4,0,4,found
Structured Dialogue,reaction,yes,Libya Review,structured dialogue; dialogue recommendations; executive authority proposals; constitutional basis; reaction; response; statement; رد,1,0,1,found
Structured Dialogue,support,yes,Libya Review,structured dialogue; dialogue recommendations; executive authority proposals; constitutional basis; support; welcomes; backs; دعم,4,0,5,found
Structured Dialogue,opposition,yes,Libya Review,structured dialogue; dialogue recommendations; executive authority proposals; constitutional basis; opposition; rejection; criticism; criticizes,1,0,1,found
Structured Dialogue,analysis,yes,Libya Review,structured dialogue; dialogue recommendations; executive authority proposals; constitutional basis; analysis; commentary; opinion; feature,0,0,0,searched_not_found
Structured Dialogue,commentary,yes,Libya Review,structured dialogue; dialogue recommendations; executive authority proposals; constitutional basis; podcast; interview; discussion; editorial,1,0,2,found
Elections,event,yes,Libya Review,elections; electoral laws; HNEC; انتخابات; latest; update; development; تطور,1,0,4,found
Elections,reaction,yes,Libya Review,elections; electoral laws; HNEC; انتخابات; reaction; response; statement; رد,1,0,2,found
Elections,support,yes,Libya Review,elections; electoral laws; HNEC; انتخابات; support; welcomes; backs; دعم,1,0,4,found
Elections,opposition,yes,Libya Review,elections; electoral laws; HNEC; انتخابات; opposition; rejection; criticism; criticizes,0,0,0,searched_not_found
Elections,analysis,yes,Libya Review,elections; electoral laws; HNEC; انتخابات; analysis; commentary; opinion; feature,0,0,0,searched_not_found
Elections,commentary,yes,Libya Review,elections; electoral laws; HNEC; انتخابات; podcast; interview; discussion; editorial,1,0,3,found
Migration,event,yes,Libya Review,migration; migrant settlement; deportation; foreign labor; latest; update; development; تطور,1,0,1,found
Migration,reaction,yes,Libya Review,migration; migrant settlement; deportation; foreign labor; reaction; response; statement; رد,0,0,0,searched_not_found
Migration,support,yes,Libya Review,migration; migrant settlement; deportation; foreign labor; support; welcomes; backs; دعم,1,0,1,found
Migration,opposition,yes,Libya Review,migration; migrant settlement; deportation; foreign labor; opposition; rejection; criticism; criticizes,1,0,1,found
Migration,analysis,yes,Libya Review,migration; migrant settlement; deportation; foreign labor; analysis; commentary; opinion; feature,0,0,0,searched_not_found
Migration,commentary,yes,Libya Review,migration; migrant settlement; deportation; foreign labor; podcast; interview; discussion; editorial,0,0,0,searched_not_found
UNSMIL,event,yes,Libya Review,UNSMIL; Tetteh; Security Council Libya; البعثة الأممية; latest; update; development; تطور,5,0,8,found
UNSMIL,reaction,yes,Libya Review,UNSMIL; Tetteh; Security Council Libya; البعثة الأممية; reaction; response; statement; رد,1,0,2,found
UNSMIL,support,yes,Libya Review,UNSMIL; Tetteh; Security Council Libya; البعثة الأممية; support; welcomes; backs; دعم,4,0,7,found
UNSMIL,opposition,yes,Libya Review,UNSMIL; Tetteh; Security Council Libya; البعثة الأممية; opposition; rejection; criticism; criticizes,1,0,1,found
UNSMIL,analysis,yes,Libya Review,UNSMIL; Tetteh; Security Council Libya; البعثة الأممية; analysis; commentary; opinion; feature,0,0,0,searched_not_found
UNSMIL,commentary,yes,Libya Review,UNSMIL; Tetteh; Security Council Libya; البعثة الأممية; podcast; interview; discussion; editorial,1,0,2,found
Central Bank,event,yes,Libya Review,Central Bank of Libya; CBL; liquidity; salary bill; latest; update; development; تطور,4,0,4,found
Central Bank,reaction,yes,Libya Review,Central Bank of Libya; CBL; liquidity; salary bill; reaction; response; statement; رد,1,0,1,found
Central Bank,support,yes,Libya Review,Central Bank of Libya; CBL; liquidity; salary bill; support; welcomes; backs; دعم,4,0,4,found
Central Bank,opposition,yes,Libya Review,Central Bank of Libya; CBL; liquidity; salary bill; opposition; rejection; criticism; criticizes,1,0,1,found
Central Bank,analysis,yes,Libya Review,Central Bank of Libya; CBL; liquidity; salary bill; analysis; commentary; opinion; feature,0,0,0,searched_not_found
Central Bank,commentary,yes,Libya Review,Central Bank of Libya; CBL; liquidity; salary bill; podcast; interview; discussion; editorial,1,0,1,found
NOC,event,yes,Libya Review,National Oil Corporation; NOC; oil production; fuel crisis; latest; update; development; تطور,0,0,0,searched_not_found
NOC,reaction,yes,Libya Review,National Oil Corporation; NOC; oil production; fuel crisis; reaction; response; statement; رد,0,0,0,searched_not_found
NOC,support,yes,Libya Review,National Oil Corporation; NOC; oil production; fuel crisis; support; welcomes; backs; دعم,0,0,0,searched_not_found
NOC,opposition,yes,Libya Review,National Oil Corporation; NOC; oil production; fuel crisis; opposition; rejection; criticism; criticizes,0,0,0,searched_not_found
NOC,analysis,yes,Libya Review,National Oil Corporation; NOC; oil production; fuel crisis; analysis; commentary; opinion; feature,0,0,0,searched_not_found
NOC,commentary,yes,Libya Review,National Oil Corporation; NOC; oil production; fuel crisis; podcast; interview; discussion; editorial,0,0,0,searched_not_found
