source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Libya Review,en,Greek PM Says Migration from Libya Remains Major Concern for Greece,,https://libyareview.com/66179/greek-pm-says-migration-from-libya-remains-major-concern-for-greece/,,https://libyareview.com/category/libya/,Greek Prime Minister Kyriakos Mitsotakis has identified migration flows from Libya to the Greek island of Crete as one of...,Governance,Migration,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66179/greek-pm-says-migration-from-libya-remains-major-concern-for-greece/,libya_review,missing_date
Libya Review,en,Libya’s Sirte Oil Company Expands Cooperation with SLB on Field Development,,https://libyareview.com/66176/libyas-sirte-oil-company-expands-cooperation-with-slb-on-field-development/,,https://libyareview.com/category/libya/,Sirte Oil Company hosted a senior executive delegation from global oilfield services provider SLB as part of efforts to strengthen...,Economy,Oil & Energy,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66176/libyas-sirte-oil-company-expands-cooperation-with-slb-on-field-development/,libya_review,missing_date
Libya Review,en,"Sea-Watch Alleges 7,400 Migrants Were Transferred from Tunisia to Libya",,https://libyareview.com/66173/sea-watch-alleges-7400-migrants-were-transferred-from-tunisia-to-libya/,,https://libyareview.com/category/libya/,"A new report by German humanitarian organisation Sea-Watch has alleged that around 7,400 migrants were subjected to collective expulsions or...",Migration,Migration,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66173/sea-watch-alleges-7400-migrants-were-transferred-from-tunisia-to-libya/,libya_review,missing_date
Libya Review,en,Libya’s Largest University Rises Again After Years of War Damage,,https://libyareview.com/66170/libyas-largest-university-rises-again-after-years-of-war-damage/,,https://libyareview.com/category/libya/,"Nearly a decade after fierce fighting left much of Benghazi University in ruins, students at Libya’s largest and oldest university...",Politics,Politics,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66170/libyas-largest-university-rises-again-after-years-of-war-damage/,libya_review,missing_date
Libya Review,en,Libya’s Sirte University to Host AI Conference,,https://libyareview.com/66166/libyas-sirte-university-to-host-ai-conference/,,https://libyareview.com/category/libya/,"Sirte University will host an international scientific conference on artificial intelligence and machine learning on Sunday, 14 June 2026, bringing...",Politics,Politics,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66166/libyas-sirte-university-to-host-ai-conference/,libya_review,missing_date
Libya Review,en,Libya’s Sirte Port Nears Full Operation as Major Infrastructure Works Advance,,https://libyareview.com/66162/libyas-sirte-port-nears-full-operation-as-major-infrastructure-works-advance/,,https://libyareview.com/category/libya/,"Libya’s National Development Agency has announced strong progress on the Sirte Port project, saying the facility is moving closer to...",Reconstruction,Reconstruction,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66162/libyas-sirte-port-nears-full-operation-as-major-infrastructure-works-advance/,libya_review,missing_date
Libya Review,en,French Ambassador Launches 1st French University Alumni Club in Libya,,https://libyareview.com/66159/french-ambassador-launches-1st-french-university-alumni-club-in-libya/,,https://libyareview.com/category/libya/,"French Ambassador to Libya Thierry Vallat has launched the first club for Libyan graduates of French universities, marking a new...",Politics,Politics,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66159/french-ambassador-launches-1st-french-university-alumni-club-in-libya/,libya_review,missing_date
Libya Review,en,Sisters Arrested Over Brother’s Killing in Libya,,https://libyareview.com/66156/sisters-arrested-over-brothers-killing-in-libya/,,https://libyareview.com/category/libya/,"Libyan criminal investigation authorities have uncovered the remains of a man who had been missing since 2017, after a renewed...",Politics,Politics,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66156/sisters-arrested-over-brothers-killing-in-libya/,libya_review,missing_date
Libya Review,en,Libya Explores PETEX Technology for Oil Production,,https://libyareview.com/66153/libya-explores-petex-technology-for-oil-production/,,https://libyareview.com/category/libya/,Libya’s National Oil Corporation has reviewed advanced digital solutions for exploration and production operations during a technical meeting with a...,Economy,Oil & Energy,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66153/libya-explores-petex-technology-for-oil-production/,libya_review,missing_date
Libya Review,en,Gaddafi Family Demands Justice Five Months After Saif Al Islam’s Death,,https://libyareview.com/66150/gaddafi-family-demands-justice-five-months-after-saif-al-islams-death/,,https://libyareview.com/category/libya/,"The family of Saif al-Islam Gaddafi has renewed pressure on Libya’s judicial authorities to reveal those responsible for his killing,...",Human Rights,Human Rights,missing_date,accepted,keyword_match:libya,0,,Tier 2,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,libya_review:https://libyareview.com/66150/gaddafi-family-demands-justice-five-months-after-saif-al-islams-death/,libya_review,missing_date
