source_name,headline,article_url,publication_date,discovery_source,collection_timestamp,audit_status,reason,qa_status,date_status
Libya Review,Greek PM Says Migration from Libya Remains Major Concern for Greece,https://libyareview.com/66179/greek-pm-says-migration-from-libya-remains-major-concern-for-greece/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya’s Sirte Oil Company Expands Cooperation with SLB on Field Development,https://libyareview.com/66176/libyas-sirte-oil-company-expands-cooperation-with-slb-on-field-development/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,"Sea-Watch Alleges 7,400 Migrants Were Transferred from Tunisia to Libya",https://libyareview.com/66173/sea-watch-alleges-7400-migrants-were-transferred-from-tunisia-to-libya/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya’s Largest University Rises Again After Years of War Damage,https://libyareview.com/66170/libyas-largest-university-rises-again-after-years-of-war-damage/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya’s Sirte University to Host AI Conference,https://libyareview.com/66166/libyas-sirte-university-to-host-ai-conference/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya’s Sirte Port Nears Full Operation as Major Infrastructure Works Advance,https://libyareview.com/66162/libyas-sirte-port-nears-full-operation-as-major-infrastructure-works-advance/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,French Ambassador Launches 1st French University Alumni Club in Libya,https://libyareview.com/66159/french-ambassador-launches-1st-french-university-alumni-club-in-libya/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Sisters Arrested Over Brother’s Killing in Libya,https://libyareview.com/66156/sisters-arrested-over-brothers-killing-in-libya/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya Explores PETEX Technology for Oil Production,https://libyareview.com/66153/libya-explores-petex-technology-for-oil-production/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Gaddafi Family Demands Justice Five Months After Saif Al Islam’s Death,https://libyareview.com/66150/gaddafi-family-demands-justice-five-months-after-saif-al-islams-death/,,https://libyareview.com/category/libya/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya Introduces New Controls on Grain Imports to Strengthen Food Security,https://libyareview.com/65968/libya-introduces-new-controls-on-grain-imports-to-strengthen-food-security/,,https://libyareview.com/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Central Bank Reports Strong Oil Revenues and Economic Growth in Libya,https://libyareview.com/65908/central-bank-reports-strong-oil-revenues-and-economic-growth-in-libya/,,https://libyareview.com/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya and Turkey Discuss Expanding Economic Cooperation,https://libyareview.com/65755/libya-and-turkey-discuss-expanding-economic-cooperation/,,https://libyareview.com/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,Libya and Turkey Expand Economic Cooperation in Benghazi,https://libyareview.com/65413/libya-and-turkey-expand-economic-cooperation-in-benghazi/,,https://libyareview.com/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
Libya Review,US Backs Libya Development Deal As Step Towards Economic Stability,https://libyareview.com/65283/us-backs-libya-development-deal-as-step-towards-economic-stability/,,https://libyareview.com/,2026-06-14T06:50:04Z,not_in_final_report,missing_date,needs_review,missing_date
