category,expected,found,number_of_items,sources_checked,specific_search_terms_used,status,notes
United Nations,yes,yes,1,Libya Observer; Libya Review,UNSMIL; Tetteh; Koury; البعثة الأممية; الأمم المتحدة; تيتيه; خوري,found,1 accepted item(s) matched category terms or section.
Politics,yes,partial,11,Libya Observer; Libya Review,structured dialogue; elections; House of Representatives; High State Council; حوار; انتخابات; مجلس النواب; المجلس الأعلى للدولة,review_only,11 item(s) were collected but require date/editorial review.
Structured Dialogue,yes,partial,1,Libya Observer; Libya Review,structured dialogue; dialogue committee; political roadmap; الحوار المهيكل; لجنة الحوار; خارطة الطريق,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Government Affairs,yes,partial,4,Libya Observer; Libya Review,GNU; Dbeibah; Presidential Council; Menfi; government; حكومة الوحدة; الدبيبة; المجلس الرئاسي; المنفي,collected_not_accepted,4 candidate item(s) were collected but not accepted.
Elections,yes,partial,1,Libya Observer; Libya Review,elections; HNEC; electoral laws; انتخابات; المفوضية الوطنية العليا للانتخابات; القوانين الانتخابية,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Military & Security,yes,yes,2,Libya Observer; Libya Review,security; clashes; Zawiya; Kufra; أمن; اشتباكات; الزاوية; الكفرة,found,2 accepted item(s) matched category terms or section.
Migration,yes,yes,1,Libya Observer; Libya Review,migration; migrants; UNHCR; IOM; deportation; trafficking; هجرة; مهاجرين; لاجئين; ترحيل; اتجار بالبشر,found,1 accepted item(s) matched category terms or section.
Human Rights,yes,partial,1,Libya Observer; Libya Review,human rights; rights violations; detention; حقوق الإنسان; انتهاكات; احتجاز,review_only,1 item(s) were collected but require date/editorial review.
Rule of Law,yes,partial,1,Libya Observer; Libya Review,Attorney General; Audit Bureau; Anti-Corruption; prosecution; النائب العام; ديوان المحاسبة; مكافحة الفساد; النيابة,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Central Bank,yes,partial,1,Libya Observer; Libya Review,Central Bank; CBL; liquidity; salary; مصرف ليبيا المركزي; السيولة; المرتبات,review_only,1 item(s) were collected but require date/editorial review.
Oil,yes,yes,1,Libya Observer; Libya Review,NOC; National Oil Corporation; oil; Ras Lanuf; المؤسسة الوطنية للنفط; النفط; رأس لانوف,found,1 accepted item(s) matched category terms or section.
Energy,yes,yes,1,Libya Observer; Libya Review,fuel; Brega; gas; energy; الوقود; البريقة; الغاز; الطاقة,found,1 accepted item(s) matched category terms or section.
Electricity,yes,partial,1,Libya Observer; Libya Review,electricity; power grid; GECOL; الكهرباء; الشبكة العامة; الشركة العامة للكهرباء,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Reconstruction,yes,partial,1,Libya Observer; Libya Review,reconstruction; Derna; development projects; إعادة الإعمار; درنة; مشروعات التنمية,review_only,1 item(s) were collected but require date/editorial review.
Economy,yes,yes,1,Libya Observer; Libya Review,Central Bank; NOC; oil; fuel; electricity; Audit Bureau; مصرف ليبيا المركزي; المؤسسة الوطنية للنفط; النفط; الوقود; الكهرباء; ديوان المحاسبة,found,1 accepted item(s) matched category terms or section.
Environment,yes,no,0,Libya Observer; Libya Review,environment; weather; floods; climate; water; groundwater; livestock; بيئة; طقس; فيضانات; مناخ; مياه; مياه جوفية; الثروة الحيوانية,not_found_but_searched,No collected item matched this category in the configured live source set.
Regional Diplomacy,yes,yes,4,Libya Observer; Libya Review,regional diplomacy; Tunisia; Egypt; Italy; France; Uganda; تونس; مصر; إيطاليا; فرنسا; أوغندا,found,4 accepted item(s) matched category terms or section.
Regional & International,yes,yes,4,Libya Observer; Libya Review,Reuters Libya; Anadolu Libya; international Libya; ليبيا دولي; ليبيا إقليمي,found,4 accepted item(s) matched category terms or section.
Analysis,yes,partial,1,Libya Observer; Libya Review,analysis; commentary; opinion; تحليل; تعليق,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Opinion,yes,no,0,Libya Observer; Libya Review,opinion; column; commentary; رأي; مقال,not_found_but_searched,No collected item matched this category in the configured live source set.
Features,yes,no,0,Libya Observer; Libya Review,feature; interview; podcast; long-form; تقرير; مقابلة; بودكاست,not_found_but_searched,No collected item matched this category in the configured live source set.
Varieties,yes,partial,4,Libya Observer; Libya Review,sports Libya; culture Libya; analysis Libya; opinion Libya; رياضة ليبيا; ثقافة ليبيا; تحليل ليبيا; رأي ليبيا,review_only,4 item(s) were collected but require date/editorial review.
