source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Libya Observer,en,"Dbeibah, US Chargé d’Affaires discuss unified development program, economic cooperation",,https://libyaobserver.ly/news/dbeibah-us-charge-daffaires-discuss-unified-development-program-economic-cooperation,2026-06-11,https://libyaobserver.ly/news,Libyan Prime Minister Abdul Hamid Dbeibah met on Thursday with US Chargé d’Affaires Jeremy Berndt to discuss bilateral cooperation and a range of economic and development issues of mutual interest.,Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:military,55,HIGH,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,libya_observer:https://libyaobserver.ly/news/dbeibah-us-charge-daffaires-discuss-unified-development-program-economic-cooperation,libya_observer,
Libya Observer,en,European Union backs Structured Dialogue recommendations,,https://libyaobserver.ly/news/european-union-backs-structured-dialogue-recommendations,2026-06-11,https://libyaobserver.ly/news,"The European Union Delegation and the diplomatic missions of EU member states in Libya have welcomed the conclusion of the UN-facilitated Structured Dialogue, praising its recommendations as the outcome of a “Libyan-led and Libyan-owned” process.",Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:military,55,HIGH,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,libya_observer:https://libyaobserver.ly/news/european-union-backs-structured-dialogue-recommendations,libya_observer,
Libya Observer,en,GNU suspends airport visa-on-arrival system temporarily,,https://libyaobserver.ly/news/gnu-suspends-airport-visa-arrival-system-temporarily,2026-06-11,https://libyaobserver.ly/news,Libya’s Government of National Unity (GNU) has temporarily suspended the issuance of visas on arrival at airports and air entry points as part of efforts to regulate the entry of foreign nationals and strengthen border controls. The decision was outlined in a letter from Minister of State for Prime Ministerial Affairs Mohammed Ben Ghalbon to Interior Minister Emad Al-Trabelsi.,Migration,Migration Policy,in_range,accepted,editorial_score:93; section:Migration; marker:migration,93,HIGH,A,unique,story-001,rejected,passed_editorial_scoring,low_editorial_value,approved,Reliable date inside target window and Libya-relevant,no,libya_observer:https://libyaobserver.ly/news/gnu-suspends-airport-visa-arrival-system-temporarily,libya_observer,
Libya Observer,en,Maltese authorities seize cocaine shipment bound for Libya,,https://libyaobserver.ly/news/maltese-authorities-seize-cocaine-shipment-bound-libya,2026-06-11,https://libyaobserver.ly/news,"Maltese customs authorities have seized a 113-kilogram cocaine shipment concealed inside a container at the Malta Freeport that was awaiting transshipment to Libya. The authorities said the drugs were discovered during a customs inspection of a container arriving from Costa Rica. The cocaine was hidden among declared cargo, prompting the launch of an investigation.",Migration,Migration Routes & Trafficking,in_range,accepted,editorial_score:93; section:Migration; marker:trafficking,93,HIGH,A,unique,story-001,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/news/maltese-authorities-seize-cocaine-shipment-bound-libya,libya_observer,
Libya Observer,en,"Egypt, Greece discuss Libya and regional stability",,https://libyaobserver.ly/inbrief/egypt-greece-discuss-libya-and-regional-stability,2026-06-11,https://libyaobserver.ly/news,Egypt’s Foreign Minister Badr Abdelatty has discussed developments in Libya with his Greek counterpart Giorgos Gerapetritis during a phone call on Thursday.,Regional & International,Regional Diplomacy,in_range,accepted,editorial_score:85; section:Regional & International; marker:foreign minister,85,MEDIUM,A,unique,story-002,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/egypt-greece-discuss-libya-and-regional-stability,libya_observer,
Libya Observer,en,Army chief discusses naval cooperation during French ship visit,,https://libyaobserver.ly/inbrief/army-chief-discusses-naval-cooperation-during-french-ship-visit,2026-06-11,https://libyaobserver.ly/news,"Libya’s army chief of staff, Salah al-Din al-Namroush, has discussed boosting naval capabilities with France’s ambassador to Libya, Thierry Vallat, during a visit to Tripoli Naval Base.",Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:army,55,LOW,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,libya_observer:https://libyaobserver.ly/inbrief/army-chief-discusses-naval-cooperation-during-french-ship-visit,libya_observer,
Libya Observer,en,Authorities identify 27 more Storm Daniel victims in Derna,,https://libyaobserver.ly/news/authorities-identify-27-more-storm-daniel-victims-derna,2026-06-11,https://libyaobserver.ly/news,"The General Authority for the Search and Identification of Missing Persons says it has identified 27 more victims of Storm Daniel in the city of Derna, following DNA analysis.",Varieties,Varieties,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,5,LOW,A,unique,,rejected,low_editorial_value:5<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:5<60,no,libya_observer:https://libyaobserver.ly/news/authorities-identify-27-more-storm-daniel-victims-derna,libya_observer,
Libya Observer,en,"Audit Bureau, Turkish counterpart step up AI cooperation",,https://libyaobserver.ly/news/audit-bureau-turkish-counterpart-step-ai-cooperation,2026-06-11,https://libyaobserver.ly/news,A delegation from the Audit Bureau’s information technology office has visited Turkey’s Court of Accounts to strengthen cooperation on artificial intelligence and digital,Human Rights,Human Rights,parsed,rejected,libya_source_without_article_level_evidence,0,,Tier 1,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,libya_observer:https://libyaobserver.ly/news/audit-bureau-turkish-counterpart-step-ai-cooperation,libya_observer,not_libya_related
Libya Observer,en,"Libya, Italy hold talks on expanding defense cooperation and training programs",,https://libyaobserver.ly/inbrief/libya-italy-hold-talks-expanding-defense-cooperation-and-training-programs,2026-06-10,https://libyaobserver.ly/news,Libya’s Deputy Defense Minister Abdul Salam Al-Zoubi and Italian Ambassador to Libya Gianluca Alberini discussed ways to strengthen bilateral cooperation during a meeting,Regional & International,Regional Diplomacy,in_range,accepted,editorial_score:85; section:Regional & International; marker:ambassador,85,MEDIUM,A,unique,story-003,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_observer:https://libyaobserver.ly/inbrief/libya-italy-hold-talks-expanding-defense-cooperation-and-training-programs,libya_observer,
Libya Observer,en,Journalists’ federations urge release of Spanish reporter detained in Benghazi,,https://libyaobserver.ly/inbrief/journalists-federations-urge-release-spanish-reporter-detained-benghazi,2026-06-10,https://libyaobserver.ly/news,"International and European journalists’ federations have called for the immediate release of Spanish journalist Alicia Armesto, who is being held in Benghazi alongside ni",Varieties,Varieties,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,5,LOW,A,unique,,rejected,low_editorial_value:5<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:5<60,no,libya_observer:https://libyaobserver.ly/inbrief/journalists-federations-urge-release-spanish-reporter-detained-benghazi,libya_observer,
