source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,وزارة التربية والتعليم تقترب من استكمال منصة المؤشرات التربوية,,https://alwasat.ly/news/libya/521717,,https://alwasat.ly/section/libya,,Governance,Government,missing_date,accepted,keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521717,al_wasat,missing_date
Ean Libya,ar,محاولات للاستيلاء على أموال ليبية في فرنسا,,https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%84%d8%a7%d8%a1-%d8%b9%d9%84%d9%89-%d8%a3%d9%85%d9%88%d8%a7%d9%84-%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d9%81/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%84%d8%a7%d8%a1-%d8%b9%d9%84%d9%89-%d8%a3%d9%85%d9%88%d8%a7%d9%84-%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d9%81/,ean_libya,missing_date
Ean Libya,ar,النفط بين التفاؤل والحذر.. ماذا عن الذهب؟,,https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%81%d8%a7%d8%a4%d9%84-%d9%88%d8%a7%d9%84%d8%ad%d8%b0%d8%b1-%d9%87%d8%b1%d9%85%d8%b2-%d9%8a%d9%85%d8%b3%d9%83-%d8%a8/,,https://www.eanlibya.com/,,Economy,Oil & Energy,missing_date,accepted,libya_source_topic:نفط,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%81%d8%a7%d8%a4%d9%84-%d9%88%d8%a7%d9%84%d8%ad%d8%b0%d8%b1-%d9%87%d8%b1%d9%85%d8%b2-%d9%8a%d9%85%d8%b3%d9%83-%d8%a8/,ean_libya,missing_date
Ean Libya,ar,المنفي: الأزمات الوبائية «العابرة للحدود» تتطلب استجابة جماعية فاعلة,,https://www.eanlibya.com/%d8%a7%d9%84%d9%85%d9%86%d9%81%d9%8a-%d8%a7%d9%84%d8%a3%d8%b2%d9%85%d8%a7%d8%aa-%d8%a7%d9%84%d9%88%d8%a8%d8%a7%d8%a6%d9%8a%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d8%a8%d8%b1%d8%a9-%d9%84%d9%84%d8%ad/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:المنفي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a7%d9%84%d9%85%d9%86%d9%81%d9%8a-%d8%a7%d9%84%d8%a3%d8%b2%d9%85%d8%a7%d8%aa-%d8%a7%d9%84%d9%88%d8%a8%d8%a7%d8%a6%d9%8a%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d8%a8%d8%b1%d8%a9-%d9%84%d9%84%d8%ad/,ean_libya,missing_date
Ean Libya,ar,ليبيا تستقبل «مومياء تخرخوري» بعد ترميمها,,https://www.eanlibya.com/%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%85%d9%88%d9%85%d9%8a%d8%a7%d8%a1-%d8%aa%d8%ae%d8%b1%d8%ae%d9%88%d8%b1%d9%8a-%d8%a8%d8%b9%d8%af-%d8%aa%d8%b1%d9%85/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%85%d9%88%d9%85%d9%8a%d8%a7%d8%a1-%d8%aa%d8%ae%d8%b1%d8%ae%d9%88%d8%b1%d9%8a-%d8%a8%d8%b9%d8%af-%d8%aa%d8%b1%d9%85/,ean_libya,missing_date
Ean Libya,ar,«دار الإفتاء» الليبية تحدد أول أيام السنة الهجرية الجديدة,,https://www.eanlibya.com/%d8%af%d8%a7%d8%b1-%d8%a7%d9%84%d8%a5%d9%81%d8%aa%d8%a7%d8%a1-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d8%aa%d8%ad%d8%af%d8%af-%d8%a3%d9%88%d9%84-%d8%a3%d9%8a%d8%a7%d9%85-%d8%a7%d9%84/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%af%d8%a7%d8%b1-%d8%a7%d9%84%d8%a5%d9%81%d8%aa%d8%a7%d8%a1-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d8%aa%d8%ad%d8%af%d8%af-%d8%a3%d9%88%d9%84-%d8%a3%d9%8a%d8%a7%d9%85-%d8%a7%d9%84/,ean_libya,missing_date
Ean Libya,ar,بعد اختفاء ملياري يورو من حسابات ليبيا.. «علي محمود» يرفض المثول أمام القضاء,,https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%a7%d8%ae%d8%aa%d9%81%d8%a7%d8%a1-%d9%85%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-%d9%85%d9%86-%d8%ad%d8%b3%d8%a7%d8%a8%d8%a7%d8%aa-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%a7%d8%ae%d8%aa%d9%81%d8%a7%d8%a1-%d9%85%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-%d9%85%d9%86-%d8%ad%d8%b3%d8%a7%d8%a8%d8%a7%d8%aa-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/,ean_libya,missing_date
Ean Libya,ar,خلال عقد من الزمن.. المؤسسة الليبية للاستثمار تُخيب الآمال بتحقيق مكاسب ضئيلة,,https://www.eanlibya.com/%d8%ae%d9%84%d8%a7%d9%84-%d8%b9%d9%82%d8%af-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%b3/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%ae%d9%84%d8%a7%d9%84-%d8%b9%d9%82%d8%af-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%b3/,ean_libya,missing_date
Ean Libya,ar,مصادر تكشف عن قرب صدور قرار تغيير رئيس المؤسسة الليبية للاستثمار,,https://www.eanlibya.com/%d9%85%d8%b5%d8%a7%d8%af%d8%b1-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%82%d8%b1%d8%a8-%d8%b5%d8%af%d9%88%d8%b1-%d9%82%d8%b1%d8%a7%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%b1%d8%a6%d9%8a%d8%b3-%d8%a7/,,https://www.eanlibya.com/,,Politics,Politics,missing_date,accepted,keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%85%d8%b5%d8%a7%d8%af%d8%b1-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%82%d8%b1%d8%a8-%d8%b5%d8%af%d9%88%d8%b1-%d9%82%d8%b1%d8%a7%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%b1%d8%a6%d9%8a%d8%b3-%d8%a7/,ean_libya,missing_date
Libya 24,ar,خبراء أوروبيون: لا يوجد تفسيرًا علميًا لحرائق الأصابعة وسنقدم تقريرًا مفصلًا للجهات المختصة الأيام المقبلة - ليبيا 24,,https://libya24.tv/2025/04/14/2020/,2025-04-13,https://libya24.tv/category/news/,متابعات – ليبيا 24: أكد خبراء أوروبيون بأن حرائق منطقة الأصابعة ليست ناتجة عن أسباب بيئية، مما يترك المجال مفتوحًا لمواصلة التحقيق في الأسباب الحقيقية وراء هذه الحرائق. وبحسب تقرير لموقع روسيا اليوم تابعته ليبيا 24، فقد جاء هذا الاستنتاج عقب تحقيقات مكثفة، والتي رغم عدم تقديم تفسير علمي واضح حتى الآن، تسعى لتوضيح أسباب هذه الحرائق. وكان فريق الخبراء قد وصل مؤخرًا إلى المنطقة في مهمة ميدانية للتحقيق في سلسلة الحرائق الغامضة التي بدأت تظهر في عدة منازل بالأصابعة منذ فبراير الماضي ومازالت مستمرة حت,Politics,Politics,date_conflict,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,URL date differs from article metadata date; URL date conflicts with article metadata; needs editorial verification,no,libya_24:https://libya24.tv/2025/04/14/2020/,libya_24,url_date_conflict:2025-04-14
