headline,source,url,date,old_status,new_status,promotion_reason,section,subsection
الناظوري يؤكد لـ«ريتشاردسون» رفض توطين المهاجرين في ليبيا,Al Wasat,https://alwasat.ly/news/libya/521791,2026-06-17,unreviewed,review,date_recovery_failed,Migration,Migration Policy
«بلوتون» الفرنسية تغادر قاعدة بنغازي البحرية (صور),Al Wasat,https://alwasat.ly/news/libya/521788,2026-06-17,unreviewed,review,date_recovery_failed,Economy & Energy,Other Economic News
«فاينانشيال تايمز»: مسعد بولس يقود خطة أميركية لتقاسم السلطة في ليبيا,Al Wasat,https://alwasat.ly/news/libya/521784,2026-06-17,unreviewed,review,date_recovery_failed,Varieties,Society
انتشال جثة في شاطئ القردان بمنطقة التميمي,Al Wasat,https://alwasat.ly/news/libya/521782,2026-06-17,unreviewed,review,date_recovery_failed,Human Rights & Rule of Law,Human Rights
«بلومبرغ»: النفط في قلب التحرك الأميركي لإعادة تشكيل المشهد الليبي,Al Wasat,https://alwasat.ly/news/libya/521780,2026-06-17,unreviewed,review,date_recovery_failed,Economy & Energy,Other Economic News
صيانة طارئة على خط كهرباء غرب سبها,Al Wasat,https://alwasat.ly/news/libya/521778,2026-06-17,unreviewed,review,date_recovery_failed,Economy & Energy,Other Economic News
التموني يناقش مع تكالة برامج إزالة وتحديث المباني القديمة,Al Wasat,https://alwasat.ly/news/libya/521776,2026-06-17,unreviewed,review,date_recovery_failed,Politics,Government Affairs
أسعار العملات الأجنبية في السوق الرسمية (الأربعاء 17 يونيو 2026),Al Wasat,https://alwasat.ly/news/libya/521773,2026-06-17,unreviewed,rejected,daily_market_listing,Varieties,Society
«إعلان بنغازي»: دعم كامل للشعب الفلسطيني في نضاله.. وإدانة جرائم الاحتلال الصهيوني,Al Wasat,https://alwasat.ly/news/libya/521771,2026-06-17,unreviewed,review,date_recovery_failed,Politics,Other Political News
«الأرصاد» يحذر من رياح نشطة على الساحل من درنة إلى خليج بومبا,Al Wasat,https://alwasat.ly/news/libya/521766,2026-06-17,unreviewed,rejected,daily_weather_bulletin,Varieties,Society
حالة الطقس في ليبيا (الأربعاء 17 يونيو 2026),Al Wasat,https://alwasat.ly/news/libya/521759,2026-06-17,unreviewed,rejected,daily_weather_bulletin,Varieties,Society
ضبط تاجر مخدرات في زليتن,Al Wasat,https://alwasat.ly/news/libya/521758,,unreviewed,review,date_recovery_failed,Military & Security,Crime & Enforcement
العثور على كميات كبيرة من مخلفات الحرب في غريان,Al Wasat,https://alwasat.ly/news/libya/521754,,unreviewed,review,date_recovery_failed,Varieties,Society
خلال افتتاح معرض «إيبيكس 2026».. «المركزي» يطلق تقنية «SoftPOS» للمرة الأولى في ليبيا,Al Wasat,https://alwasat.ly/news/libya/521750,,unreviewed,review,date_recovery_failed,Varieties,Society
حفتر يفتتح مشروع طريق الباكور الرابط بين توكرة والمرج,Al Wasat,https://alwasat.ly/news/libya/521749,,unreviewed,rejected,sports_only,Varieties,Society
