source_name,source_url,fetch_status,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,rejected_date_count,rejected_relevance_count,uncertain_date_count,failed_count,zero_result_reason,error,notes,checked_at
Al Wasat,https://alwasat.ly/section/libya | https://alwasat.ly/feed/ | https://alwasat.ly/rss/,ok,25,10,12,0,12,5,8,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests:article_page_verification']",2026-06-17T10:36:33Z
Libya Observer,https://libyaobserver.ly/news | https://libyaobserver.ly/inbrief | https://libyaobserver.ly/economy,ok,1,1,1,0,1,0,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'playwright_default:rss_feeds', 'playwright_default:sitemap_discovery']",2026-06-17T10:36:42Z
Libya Al Ahrar,https://libyaalahrar.tv/category/news/ | https://libyaalahrar.tv/feed/ | https://libyaalahrar.tv/feed/,ok,4,4,4,0,4,0,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']",2026-06-17T10:36:51Z
Ean Libya,https://www.eanlibya.com/ | https://www.eanlibya.com/newsletter/ | https://www.eanlibya.com/feed/,ok,55,10,21,0,19,24,12,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:37:02Z
Al Menassa,https://almenassa.ly/wide-web-1/ | https://almenassa.ly/ | https://almenassa.ly/feed/,ok,4,4,3,0,3,1,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:37:20Z
LANA,https://lana.gov.ly/category.php?lang=ar&id=8 | https://lana.gov.ly/ | https://lana.gov.ly/feed/,ok,35,10,34,0,22,13,0,0,all_items_outside_date_window,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:37:29Z
Libya 24,https://libya24.tv/category/news/ | https://libya24.tv/ | https://libya24.tv/feed/,ok,28,10,28,0,16,11,1,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:37:50Z
Libya Herald,https://libyaherald.com/category/libya/ | https://libyaherald.com/ | https://libyaherald.com/feed/,ok,1,1,0,0,0,0,1,0,date_parsing_failed,,rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests'],2026-06-17T10:38:01Z
RNA Reportage,https://reportage.ly/ | https://reportage.ly/category/news/ | https://reportage.ly/feed/,ok,64,10,55,0,38,17,9,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:38:11Z
Al Sabaah,https://alsabaah.ly/category/libya/ | https://alsabaah.ly/ | https://alsabaah.ly/feed/,ok,2,2,1,0,0,2,0,0,selector_failed,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:38:16Z
Libya Review,https://libyareview.com/category/libya/ | https://libyareview.com/ | https://libyareview.com/feed/,ok,29,10,10,0,10,0,19,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:38:25Z
Address Libya,https://www.addresslibya.com/libya/ | https://www.addresslibya.com/ | https://www.addresslibya.com/feed/,ok,37,10,36,0,23,13,1,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:38:46Z
Al Shahed,https://lywitness.com/category/libya/ | https://lywitness.com/ | https://lywitness.com/feed/,ok,28,10,27,0,27,1,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:38:58Z
Al Marsad,https://almarsad.co/category/libya/ | https://almarsad.co/ | https://almarsad.co/feed/,ok,10,10,10,0,10,0,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']",2026-06-17T10:39:09Z
Libya Update,https://libyaupdate.com/news/ | https://libyaupdate.com/ | https://libyaupdate.com/feed/,ok,27,10,10,0,10,10,7,0,all_items_outside_date_window,,"rejected_non_article=2; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests', 'requests:article_page_verification']",2026-06-17T10:39:27Z
Fawasel Media,https://fawaselmedia.com/category/politics/ | https://fawaselmedia.com/ | https://fawaselmedia.com/feed/,ok,12,10,9,0,9,1,2,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:40:06Z
Tanasuh,https://tanasuh.tv/category/news/ | https://tanasuh.tv/ | https://tanasuh.tv/feed/,ok,4,4,3,0,0,4,0,0,all_items_failed_relevance_filter,,"rejected_non_article=2; article_fetch_errors=0; successful_recovery_methods=['session_reuse', 'requests', 'requests:article_page_verification']",2026-06-17T10:40:12Z
Akhbar Libya 24,https://akhbarlibya24.net/category/libya-news/ | https://akhbarlibya24.net/ | https://akhbarlibya24.net/feed/,ok,10,10,10,0,8,2,0,0,all_items_outside_date_window,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']",2026-06-17T10:40:19Z
Al Saaa 24,https://alsaaa24.net/category/libya | https://alsaaa24.net/ | https://alsaaa24.net/feed,ok,31,10,21,0,8,14,9,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:40:37Z
Asharq Al Awsat,https://aawsat.com/tags/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 | https://aawsat.com/feed | https://aawsat.com/rss/,ok,1,1,1,0,1,0,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'playwright_default:rss_feeds', 'requests_with_browser_headers:sitemap_discovery', 'playwright_default:sitemap_discovery', 'playwright_default:category_pages', 'requests_with_browser_headers:category_pages', 'playwright_default:archive_pages', 'requests_with_browser_headers:article_search_fallback', 'requests_with_browser_headers:article_page_verification']",2026-06-17T10:41:20Z
Al Mashhad,https://www.almashhad.com/section/773112298002792-News/ | https://www.almashhad.com/rss/ | https://www.almashhad.com/rss.xml,ok,0,0,0,0,0,0,0,4,no_article_links_found,"https://www.almashhad.com/feed/: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); session_reuse=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); playwright_default=Failed to fetch https://www.almashhad.com/feed/ after 1 attempts | https://www.almashhad.com/news-sitemap.xml: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); session_reuse=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); playwright_default=Failed to fetch https://www.almashhad.com/news-sitemap.xml after 1 attempts | https://www.almashhad.com/latest/: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); session_reuse=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); playwright_default=Failed to fetch https://www.almashhad.com/latest/ after 1 attempts","rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['playwright_default:rss_feeds', 'playwright_default:sitemap_discovery', 'playwright_default:category_pages', 'playwright_default:archive_pages', 'playwright_default:article_search_fallback']",2026-06-17T10:41:49Z
Al Ain,https://al-ain.com/tag/libya | https://al-ain.com/ | https://al-ain.com/feed/,ok,54,10,10,0,1,52,1,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:41:54Z
Arabi21,https://arabi21.com/stories/t/49474/0/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 | https://arabi21.com/feed/ | https://arabi21.com/rss/,ok,5,5,5,0,0,5,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:42:01Z
New Arab,https://www.newarab.com/tag/libya | https://www.newarab.com/rss | https://www.newarab.com/rss,ok,13,10,7,0,1,12,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:42:20Z
ANSA,https://www.ansa.it/english/ | https://www.ansa.it/english/news/world/ | https://www.ansa.it/feed/,ok,32,10,14,0,0,32,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:42:27Z
Anadolu Agency,https://www.aa.com.tr/en/africa | https://www.aa.com.tr/en | https://www.aa.com.tr/feed/,ok,6,6,0,0,0,6,0,0,all_items_failed_relevance_filter,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']",2026-06-17T10:43:46Z
The Guardian,https://www.theguardian.com/world/libya | https://www.theguardian.com/feed | https://www.theguardian.com/uk/rss,ok,31,10,9,0,0,31,0,0,all_items_failed_relevance_filter,,"rejected_non_article=6; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:43:56Z
BSS News,https://www.bssnews.net/international | https://www.bssnews.net/ | https://www.bssnews.net/feed/,ok,9,9,8,0,0,9,0,0,all_items_failed_relevance_filter,,"rejected_non_article=2; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:44:03Z
CH Aviation,https://www.ch-aviation.com/news | https://www.ch-aviation.com/feed/ | https://www.ch-aviation.com/rss/,ok,27,10,0,0,0,27,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:44:11Z
Volcanodiscovery,https://www.volcanodiscovery.com/earthquakes/libya.html | https://www.volcanodiscovery.com/feed/ | https://www.volcanodiscovery.com/rss/,ok,15,10,8,0,0,15,0,0,all_items_failed_relevance_filter,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:44:17Z
Reuters,https://www.reuters.com/world/africa/ | https://www.reuters.com/feed/ | https://www.reuters.com/rss/,ok,0,0,0,0,0,0,0,0,no_article_links_found,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['playwright_default:rss_feeds', 'playwright_default:sitemap_discovery', 'playwright_default:category_pages', 'playwright_default:archive_pages', 'playwright_default:article_search_fallback']",2026-06-17T10:44:53Z
AP,https://apnews.com/hub/libya | https://apnews.com/feed/ | https://apnews.com/rss/,ok,88,10,10,0,0,88,0,0,all_items_failed_relevance_filter,,"rejected_non_article=4; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:45:03Z
BBC,https://www.bbc.com/news/topics/c302m85qenyt | https://www.bbc.com/feed/ | https://www.bbc.com/rss/,ok,40,10,7,0,0,40,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T10:45:11Z
