source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,ضبط تاجر مخدرات في زليتن,,https://alwasat.ly/news/libya/521758,,https://alwasat.ly/section/libya,,Military & Security,Other Military & Security news,missing_date,accepted,weighted_libya_score:15; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521758,al_wasat,missing_date
Al Wasat,ar,العثور على كميات كبيرة من مخلفات الحرب في غريان,,https://alwasat.ly/news/libya/521754,,https://alwasat.ly/section/libya,,Other,Other Other news,missing_date,accepted,weighted_libya_score:15; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521754,al_wasat,missing_date
Al Wasat,ar,خلال افتتاح معرض «إيبيكس 2026».. «المركزي» يطلق تقنية «SoftPOS» للمرة الأولى في ليبيا,,https://alwasat.ly/news/libya/521750,,https://alwasat.ly/section/libya,,Other,Other Other news,missing_date,accepted,weighted_libya_score:21; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521750,al_wasat,missing_date
Al Wasat,ar,حفتر يفتتح مشروع طريق الباكور الرابط بين توكرة والمرج,,https://alwasat.ly/news/libya/521749,,https://alwasat.ly/section/libya,,Other,Other Other news,missing_date,accepted,weighted_libya_score:11; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521749,al_wasat,missing_date
Al Wasat,ar,افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),,https://alwasat.ly/news/libya/521746,,https://alwasat.ly/section/libya,,Other,Other Other news,missing_date,accepted,weighted_libya_score:21; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521746,al_wasat,missing_date
Al Wasat,ar,«حكومة الوحدة» توقع مذكرة تفاهم للتعاون العسكري مع النيجر,,https://alwasat.ly/news/libya/521743,,https://alwasat.ly/section/libya,,Politics,Governance,missing_date,accepted,weighted_libya_score:16; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521743,al_wasat,missing_date
Al Wasat,ar,«وسط الخبر» يناقش تداعيات الحادث السيبراني على أنظمة وخدمات «المركزي»,,https://alwasat.ly/news/libya/521741,,https://alwasat.ly/section/libya,,Municipalities & Public Services,Municipal Services,missing_date,accepted,weighted_libya_score:12; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/521741,al_wasat,missing_date
Al Wasat,ar,كاريكاتير خيري - نتنياهو.. مجرم الحرب المطلوب لدي المحكمة الجنائية الدولية,,https://alwasat.ly/news/caricature/519899,,https://alwasat.ly/section/libya,,Human Rights & Rule of Law,Other Human Rights & Rule of Law news,missing_date,accepted,weighted_libya_score:6; keyword_match:محكمة,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/caricature/519899,al_wasat,missing_date
Ean Libya,ar,قراءة في ملابسات اختراق منظومات مصرف ليبيا المركزي,,https://www.eanlibya.com/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d9%81%d9%8a-%d9%85%d9%84%d8%a7%d8%a8%d8%b3%d8%a7%d8%aa-%d8%a7%d8%ae%d8%aa%d8%b1%d8%a7%d9%82-%d9%85%d9%86%d8%b8%d9%88%d9%85%d8%a7%d8%aa-%d9%85%d8%b5%d8%b1%d9%81-%d9%84/,,https://www.eanlibya.com/,,Economy,Banking,missing_date,accepted,weighted_libya_score:25; keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d9%81%d9%8a-%d9%85%d9%84%d8%a7%d8%a8%d8%b3%d8%a7%d8%aa-%d8%a7%d8%ae%d8%aa%d8%b1%d8%a7%d9%82-%d9%85%d9%86%d8%b8%d9%88%d9%85%d8%a7%d8%aa-%d9%85%d8%b5%d8%b1%d9%81-%d9%84/,ean_libya,missing_date
Ean Libya,ar,من يملك حق إنتاج الشرعية السياسية في ليبيا؟,,https://www.eanlibya.com/%d9%85%d9%86-%d9%8a%d9%85%d9%84%d9%83-%d8%ad%d9%82-%d8%a5%d9%86%d8%aa%d8%a7%d8%ac-%d8%a7%d9%84%d8%b4%d8%b1%d8%b9%d9%8a%d8%a9-%d8%a7%d9%84%d8%b3%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d9%81%d9%8a-%d9%84%d9%8a/,,https://www.eanlibya.com/,,Other,Other Other news,missing_date,accepted,weighted_libya_score:15; keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%85%d9%86-%d9%8a%d9%85%d9%84%d9%83-%d8%ad%d9%82-%d8%a5%d9%86%d8%aa%d8%a7%d8%ac-%d8%a7%d9%84%d8%b4%d8%b1%d8%b9%d9%8a%d8%a9-%d8%a7%d9%84%d8%b3%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d9%81%d9%8a-%d9%84%d9%8a/,ean_libya,missing_date
