headline,source,promoted,promotion_reason,recovered_date,theme,narrative_type
ضبط تاجر مخدرات في زليتن,Al Wasat,no,not_promoted:not_active_theme,,Crime & Enforcement,development
العثور على كميات كبيرة من مخلفات الحرب في غريان,Al Wasat,no,not_promoted:date_recovery_failed,,Society,development
خلال افتتاح معرض «إيبيكس 2026».. «المركزي» يطلق تقنية «SoftPOS» للمرة الأولى في ليبيا,Al Wasat,no,not_promoted:date_recovery_failed,,Society,development
افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),Al Wasat,no,not_promoted:date_recovery_failed,,Society,development
«وسط الخبر» يناقش تداعيات الحادث السيبراني على أنظمة وخدمات «المركزي»,Al Wasat,no,not_promoted:not_active_theme,,Public Administration,meeting
قراءة في ملابسات اختراق منظومات مصرف ليبيا المركزي,Ean Libya,no,not_promoted:date_recovery_failed,,Society,analysis
من يملك حق إنتاج الشرعية السياسية في ليبيا؟,Ean Libya,no,not_promoted:date_recovery_failed,,Society,development
المعالجة الجذرية لملف الهجرة,Ean Libya,no,not_promoted:not_active_theme,,Migration Policy,development
محاولات للاستيلاء على أموال ليبية في فرنسا,Ean Libya,no,not_promoted:date_recovery_failed,,Society,development
النفط بين التفاؤل والحذر.. ماذا عن الذهب؟,Ean Libya,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
ليبيا تستقبل «مومياء تخرخوري» بعد ترميمها,Ean Libya,no,not_promoted:not_active_theme,,Other UN News,development
بعد اختفاء ملياري يورو من حسابات ليبيا.. «علي محمود» يرفض المثول أمام القضاء,Ean Libya,no,not_promoted:date_recovery_failed,,Society,reaction_opposition
خلال عقد من الزمن.. المؤسسة الليبية للاستثمار تُخيب الآمال بتحقيق مكاسب ضئيلة,Ean Libya,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
مصادر تكشف عن قرب صدور قرار تغيير رئيس المؤسسة الليبية للاستثمار,Ean Libya,no,not_promoted:date_recovery_failed,,Other Economic News,decision
جهود الحكومة الليبية وصندوق التنمية.. بثبات نحو إعادة إعمار المدن وتأسيس بنية تحتية متينة لمستقبل أكثر استقرارًا - ليبيا 24,Libya 24,no,not_promoted:date_recovery_failed,,Other Economic News,reaction_support
خالد حفتر يبحث مع خوري آخر مستجدات الأوضاع السياسية في ليبيا,RNA Reportage,no,not_promoted:not_active_theme,,Other UN News,meeting
الاتحاد الأوروبي يؤكد احترام حق ليبيا السيادي في إدارة الهجرة,RNA Reportage,no,not_promoted:not_active_theme,,Migration Policy,development
عقيلة صالح يبحث مع خوري آخر تطورات الأوضاع في ليبيا,RNA Reportage,no,not_promoted:not_active_theme,,Other UN News,meeting
خلال اجتماع مع صدام حفتر.. ماكرون يؤكد أهمية دعم المسارات التي تسهم في ترسيخ الاستقرار في ليبيا,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,reaction_support
منهم الصين والفاتيكان.. المنفي يتسلم أوراق اعتماد 8 سفراء جدد لدى ليبيا,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,development
عمر رحومة: ليبيا أمام خيارين والخروج من دوامة المراحل الانتقالية بات ضرورة وطنية,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,statement
هاتف ليبيا تعلن توقف في خدمة الهاتف الثابت اللاسلكي,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,statement
“تبو ليبيا” يعلن ترحيبه بصدور مخرجات الحوار المهيكل,RNA Reportage,no,not_promoted:not_active_theme,,Political Process,proposal
محادثات مصرية يونانية حول تطورات الوضع في ليبيا,RNA Reportage,no,not_promoted:not_active_theme,,International Relations,diplomatic_context
Libya Fears Becoming Permanent Migrant Hub,Libya Review,no,not_promoted:not_active_theme,,Migration Policy,proposal
Libya Central Bank Cyberattack Explained: What Happened and What Comes Next,Libya Review,no,not_promoted:date_recovery_failed,,Banking & Finance,economy_sub_story
Libya’s NOC Signs Major Oil & Gas Agreements With Global Firms,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,decision
Libya Deports Irregular Migrants From 7 Countries,Libya Review,no,not_promoted:not_active_theme,,Deportation & Enforcement,development
Libyan Investment Authority Assets Rise to $51.8 Billion in First Quarter of 2026,Libya Review,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
Libya Introduces New Controls on Grain Imports to Strengthen Food Security,Libya Review,no,not_promoted:date_recovery_failed,,Society,development
Central Bank Reports Strong Oil Revenues and Economic Growth in Libya,Libya Review,no,not_promoted:date_recovery_failed,,Banking & Finance,economy_sub_story
Libya and Turkey Discuss Expanding Economic Cooperation,Libya Review,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
