source_name,story_clusters,approved_articles,review_items,rejected_items,collection_timestamp
Address Libya,0,0,2,0,2026-06-17T10:47:59Z
Al Ain,0,0,1,0,2026-06-17T10:51:04Z
Al Jazeera Arabic - Libya,0,0,1,1,2026-06-17T10:53:07Z
Al Saaa 24,0,0,9,0,2026-06-17T10:49:44Z
Al Wasat,0,0,8,0,2026-06-17T10:45:48Z
Ean Libya,0,0,12,0,2026-06-17T10:46:06Z
Fawasel Media,0,0,2,0,2026-06-17T10:49:16Z
Libya 24,0,0,1,0,2026-06-17T10:46:53Z
Libya Observer,1,1,0,1,2026-06-17T10:45:49Z
Libya Review,0,0,18,1,2026-06-17T10:47:37Z
Libya Update,0,0,7,0,2026-06-17T10:48:34Z
RNA Reportage,0,0,10,0,2026-06-17T10:47:22Z
