source,failure_type,attempted_recovery_methods,successful_method,articles_recovered,remaining_issue
Al Wasat,,category_pages; requests; requests_with_browser_headers; rss_feeds; session_reuse; playwright_default; article_page_verification,requests_with_browser_headers; requests:article_page_verification,8,
Libya Observer,,category_pages; requests; article_page_verification,requests; requests:article_page_verification,2,
Libya Al Ahrar,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_page_verification,requests_with_browser_headers; requests_with_browser_headers:article_page_verification,0,all_items_outside_date_window
Ean Libya,,homepage; requests; category_pages; rss_feeds; article_search_fallback; article_page_verification,requests; requests:article_page_verification,12,
Al Menassa,,homepage; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_outside_date_window
LANA,,homepage; requests; rss_feeds; requests_with_browser_headers; session_reuse; playwright_default; article_page_verification,requests; requests:article_page_verification,0,all_items_outside_date_window
Libya 24,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_page_verification,requests; requests:article_page_verification,1,
Libya Herald,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_outside_date_window
RNA Reportage,,homepage; requests; category_pages; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_search_fallback; article_page_verification,requests; requests:article_page_verification,10,
Al Sabaah,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; homepage; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,selector_failed
Libya Review,,category_pages; requests; rss_feeds; article_page_verification,requests; requests:article_page_verification,19,
Address Libya,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; homepage; rss_feeds; article_page_verification,requests; requests:article_page_verification,2,
Al Shahed,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; homepage; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_outside_date_window
Al Marsad,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; homepage; rss_feeds; article_page_verification,requests_with_browser_headers; requests_with_browser_headers:article_page_verification,0,all_items_outside_date_window
Libya Update,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_page_verification,requests_with_browser_headers; requests; requests:article_page_verification,7,
Fawasel Media,,category_pages; requests; homepage; rss_feeds; article_page_verification,requests; requests:article_page_verification,2,
Tanasuh,,category_pages; requests; requests_with_browser_headers; homepage; rss_feeds; article_page_verification,requests_with_browser_headers; requests; requests:article_page_verification,0,all_items_failed_relevance_filter
Akhbar Libya 24,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; homepage; rss_feeds; article_page_verification,requests_with_browser_headers; requests_with_browser_headers:article_page_verification,0,all_items_outside_date_window
Al Saaa 24,,category_pages; requests; homepage; rss_feeds; requests_with_browser_headers; session_reuse; playwright_default; article_page_verification,requests; requests:article_page_verification,9,
Asharq Al Awsat,,homepage; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; sitemap_discovery; category_pages; archive_pages; article_page_verification,requests_with_browser_headers; playwright_default:rss_feeds; requests_with_browser_headers:sitemap_discovery; playwright_default:sitemap_discovery; playwright_default:category_pages; requests_with_browser_headers:category_pages; playwright_default:archive_pages; requests_with_browser_headers:article_page_verification,0,all_items_failed_relevance_filter
Al Mashhad,fetch_failed,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; sitemap_discovery; archive_pages; article_search_fallback,playwright_default:rss_feeds; playwright_default:sitemap_discovery; playwright_default:category_pages; playwright_default:archive_pages; playwright_default:article_search_fallback,0,no_article_links_found
Al Ain,,category_pages; requests; requests_with_browser_headers; session_reuse; playwright_default; homepage; rss_feeds; article_page_verification,requests; requests:article_page_verification,1,
Arabi21,,homepage; requests; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_failed_relevance_filter
New Arab,,category_pages; requests; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_outside_date_window
ANSA,,homepage; requests; category_pages; requests_with_browser_headers; session_reuse; playwright_default; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_failed_relevance_filter
Anadolu Agency,,homepage; requests; requests_with_browser_headers; rss_feeds; article_page_verification,requests_with_browser_headers; requests_with_browser_headers:article_page_verification,0,all_items_failed_relevance_filter
The Guardian,,category_pages; requests; rss_feeds; requests_with_browser_headers; session_reuse; playwright_default; article_page_verification,requests; requests:article_page_verification,0,all_items_failed_relevance_filter
BSS News,,homepage; requests; rss_feeds; article_page_verification,requests; requests:article_page_verification,0,all_items_failed_relevance_filter
CH Aviation,,category_pages; requests; rss_feeds; requests_with_browser_headers; session_reuse; playwright_default; article_page_verification,requests; requests:article_page_verification,0,all_items_failed_relevance_filter
Volcanodiscovery,,category_pages; requests; rss_feeds; requests_with_browser_headers; session_reuse; playwright_default; article_page_verification,requests; requests:article_page_verification,0,all_items_failed_relevance_filter
