source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,الناظوري يؤكد لـ«ريتشاردسون» رفض توطين المهاجرين في ليبيا,,https://alwasat.ly/news/libya/521791,2026-06-17,https://alwasat.ly/section/libya,رئيس مجلس الأمن القومي المكلف من مجلس النواب، الفريق عبدالرازق الناظوري يلتقي نائبة الممثل الخاص للأمين العام للأمم المتحدة للشؤون الإنسانية أولريكا ريتشاردسون.,Migration,Security,outside_date_window,accepted,weighted_libya_score:32; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521791,al_wasat,outside_date_window
Al Wasat,ar,«بلوتون» الفرنسية تغادر قاعدة بنغازي البحرية (صور),,https://alwasat.ly/news/libya/521788,2026-06-17,https://alwasat.ly/section/libya,السفينة الفرنسية «بلوتون» تغادر قاعدة بنغازي البحرية.,Economy,Oil & Energy,outside_date_window,accepted,weighted_libya_score:18; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521788,al_wasat,outside_date_window
Al Wasat,ar,«فاينانشيال تايمز»: مسعد بولس يقود خطة أميركية لتقاسم السلطة في ليبيا,,https://alwasat.ly/news/libya/521784,2026-06-17,https://alwasat.ly/section/libya,مستشار الرئيس الأميركي ترامب يروج لخطة لتقاسم السلطة في ليبيا.. فما تفاصيلها؟,Other,Other Other news,outside_date_window,accepted,weighted_libya_score:19; keyword_match:libya; noise_context_overridden:ترامب,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521784,al_wasat,outside_date_window
Al Wasat,ar,انتشال جثة في شاطئ القردان بمنطقة التميمي,,https://alwasat.ly/news/libya/521782,2026-06-17,https://alwasat.ly/section/libya,جمعية الهلال الأحمر تعلن العثور على جثة في شاطئ القردان.,Other,Other Other news,outside_date_window,accepted,weighted_libya_score:9; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521782,al_wasat,outside_date_window
Al Wasat,ar,«بلومبرغ»: النفط في قلب التحرك الأميركي لإعادة تشكيل المشهد الليبي,,https://alwasat.ly/news/libya/521780,2026-06-17,https://alwasat.ly/section/libya,«بلومبرغ» الأميركية تسلط الضوء على الاستراتيجية الأميركية في ليبيا التي تركز على توحيد الأطراف المتنافسة من خلال دعم إنتاج النفط.,Economy,Oil & Energy,outside_date_window,accepted,weighted_libya_score:26; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521780,al_wasat,outside_date_window
Al Wasat,ar,صيانة طارئة على خط كهرباء غرب سبها,,https://alwasat.ly/news/libya/521778,2026-06-17,https://alwasat.ly/section/libya,الشركة العامة للكهرباء تعلن تنفيذ صيانة طارئة لخط غرب سبها.,Economy,Oil & Energy,outside_date_window,accepted,weighted_libya_score:18; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521778,al_wasat,outside_date_window
Al Wasat,ar,التموني يناقش مع تكالة برامج إزالة وتحديث المباني القديمة,,https://alwasat.ly/news/libya/521776,2026-06-17,https://alwasat.ly/section/libya,وزير الإسكان والتعمير يلتقي رئيس المجلس الأعلى للدولة لمتابعة خطط تطوير قطاع الإسكان,Politics,Governance,outside_date_window,accepted,weighted_libya_score:19; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521776,al_wasat,outside_date_window
Al Wasat,ar,أسعار العملات الأجنبية في السوق الرسمية (الأربعاء 17 يونيو 2026),,https://alwasat.ly/news/libya/521773,2026-06-17,https://alwasat.ly/section/libya,«بوابة الوسط» ترصد أسعار أبرز العملات الدولية المتداولة في السوق الرسمية في ليبيا.,Other,Other Other news,outside_date_window,accepted,weighted_libya_score:21; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521773,al_wasat,outside_date_window
Al Wasat,ar,«إعلان بنغازي»: دعم كامل للشعب الفلسطيني في نضاله.. وإدانة جرائم الاحتلال الصهيوني,,https://alwasat.ly/news/libya/521771,2026-06-17,https://alwasat.ly/section/libya,هذا بعض ما جاء في «إعلان بنغازي» الصادر عن المؤتمر الثاني للمجلس البرلماني الآسيوي الأفريقي,Economy,Oil & Energy,outside_date_window,accepted,weighted_libya_score:16; keyword_match:libya; noise_context_overridden:فلسطين,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521771,al_wasat,outside_date_window
Al Wasat,ar,«الأرصاد» يحذر من رياح نشطة على الساحل من درنة إلى خليج بومبا,,https://alwasat.ly/news/libya/521766,2026-06-17,https://alwasat.ly/section/libya,نشرة الصيد البحري الصادرة عن مركز الأرصاد اليوم الأربعاء (17 يونيو 2026).,Other,Other Other news,outside_date_window,accepted,weighted_libya_score:15; keyword_match:libya,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/521766,al_wasat,outside_date_window
