category,expected,found,number_of_items,sources_checked,specific_search_terms_used,status,notes
United Nations,yes,yes,5,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,UNSMIL; Tetteh; Koury; البعثة الأممية; الأمم المتحدة; تيتيه; خوري,found,5 accepted item(s) matched category terms or section.
Politics,yes,yes,4,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,structured dialogue; elections; House of Representatives; High State Council; حوار; انتخابات; مجلس النواب; المجلس الأعلى للدولة,found,4 accepted item(s) matched category terms or section.
Structured Dialogue,yes,yes,2,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,structured dialogue; dialogue committee; political roadmap; الحوار المهيكل; لجنة الحوار; خارطة الطريق,found,2 accepted item(s) matched category terms or section.
Government Affairs,yes,partial,10,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,GNU; Dbeibah; Presidential Council; Menfi; government; حكومة الوحدة; الدبيبة; المجلس الرئاسي; المنفي,review_only,10 item(s) were collected but require date/editorial review.
Elections,yes,yes,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,elections; HNEC; electoral laws; انتخابات; المفوضية الوطنية العليا للانتخابات; القوانين الانتخابية,found,1 accepted item(s) matched category terms or section.
Military & Security,yes,yes,6,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,security; clashes; Zawiya; Kufra; أمن; اشتباكات; الزاوية; الكفرة,found,6 accepted item(s) matched category terms or section.
Migration,yes,yes,5,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,migration; migrants; UNHCR; IOM; deportation; trafficking; هجرة; مهاجرين; لاجئين; ترحيل; اتجار بالبشر,found,5 accepted item(s) matched category terms or section.
Human Rights,yes,yes,3,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,human rights; rights violations; detention; حقوق الإنسان; انتهاكات; احتجاز,found,3 accepted item(s) matched category terms or section.
Rule of Law,yes,yes,4,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Attorney General; Audit Bureau; Anti-Corruption; prosecution; النائب العام; ديوان المحاسبة; مكافحة الفساد; النيابة,found,4 accepted item(s) matched category terms or section.
Central Bank,yes,yes,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Central Bank; CBL; liquidity; salary; مصرف ليبيا المركزي; السيولة; المرتبات,found,1 accepted item(s) matched category terms or section.
Oil,yes,yes,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,NOC; National Oil Corporation; oil; Ras Lanuf; المؤسسة الوطنية للنفط; النفط; رأس لانوف,found,1 accepted item(s) matched category terms or section.
Energy,yes,yes,16,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,fuel; Brega; gas; energy; الوقود; البريقة; الغاز; الطاقة,found,16 accepted item(s) matched category terms or section.
