headline,source,url,date,old_status,new_status,promotion_reason,section,subsection
ضبط تاجر مخدرات في زليتن,Al Wasat,https://alwasat.ly/news/libya/521758,2026-06-17,approved,already_approved,already_in_editorial_pool,,
العثور على كميات كبيرة من مخلفات الحرب في غريان,Al Wasat,https://alwasat.ly/news/libya/521754,2026-06-17,rejected,promoted,raw_candidate_promoted:section=Varieties; subsection=Society; date=article_publication; narrative_type=development; marker=no_editorial_marker,Varieties,Society
خلال افتتاح معرض «إيبكس 2026».. «المركزي» يطلق تقنية «SoftPOS» لأول مرة في ليبيا,Al Wasat,https://alwasat.ly/news/libya/521750,2026-06-16,approved,already_approved,already_in_editorial_pool,,
حفتر يفتتح مشروع طريق الباكور الرابط بين توكرة والمرج,Al Wasat,https://alwasat.ly/news/libya/521749,2026-06-16,rejected,rejected,sports_only,Varieties,Society
أسعار الذهب في ليبيا الثلاثاء (16 يونيو 2026),Al Wasat,https://alwasat.ly/news/libya/521747,2026-06-16,rejected,rejected,daily_market_listing,Varieties,Society
افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),Al Wasat,https://alwasat.ly/news/libya/521746,2026-06-16,rejected,promoted,raw_candidate_promoted:section=Varieties; subsection=Society; date=article_publication; narrative_type=development; marker=no_editorial_marker,Varieties,Society
«حكومة الوحدة» توقع مذكرة تفاهم للتعاون العسكري مع النيجر,Al Wasat,https://alwasat.ly/news/libya/521743,2026-06-16,approved,already_approved,already_in_editorial_pool,,
«وسط الخبر» يناقش تداعيات الحادث السيبراني على أنظمة وخدمات «المركزي»,Al Wasat,https://alwasat.ly/news/libya/521741,2026-06-16,approved,already_approved,already_in_editorial_pool,,
تفريغ ناقلة تحمل 34 مليون لتر من بنزين بميناء طرابلس,Al Wasat,https://alwasat.ly/news/libya/521739,2026-06-16,approved,already_approved,already_in_editorial_pool,,
إغلاق جزئي لطريق المطار في طرابلس لمدة ثلاثة أيام لاستكمال الرصف,Al Wasat,https://alwasat.ly/news/libya/521735,2026-06-16,approved,already_approved,already_in_editorial_pool,,
تكالة يبحث مع وفد مجلس الشيوخ التشادي تعزيز العلاقات الثنائية بين البلدين,Al Wasat,https://alwasat.ly/news/libya/521734,2026-06-16,approved,already_approved,already_in_editorial_pool,,
توصيات من ثلاثة بنود في البيان الختامي لمؤتمر المجلس البرلماني الآسيوي - الأفريقي,Al Wasat,https://alwasat.ly/news/libya/521733,2026-06-16,approved,already_approved,already_in_editorial_pool,,
الغوج يبحث التعاون مع مصر في مجال جودة واعتماد المؤسسات الصحية,Al Wasat,https://alwasat.ly/news/libya/521731,2026-06-16,approved,already_approved,already_in_editorial_pool,,
نيجيريا ومصر وتونس تستورد النفط الليبي للمرة الأولى منذ سنوات.. ما السبب؟,Al Wasat,https://alwasat.ly/news/libya/521728,2026-06-16,approved,already_approved,already_in_editorial_pool,,
إعادة تشغيل الوحدة الثانية بمحطة كهرباء الخليج البخارية في سرت,Al Wasat,https://alwasat.ly/news/libya/521727,2026-06-16,approved,already_approved,already_in_editorial_pool,,
أسعار العملات الأجنبية في السوق الموازية الثلاثاء (16 يونيو 2026),Al Wasat,https://alwasat.ly/news/libya/521724,2026-06-16,rejected,rejected,daily_market_listing,Economy & Energy,Other Economic News
مغلقة منذ 1993.. توضيح روسي بشأن افتتاح قنصليتها في بنغازي,Al Wasat,https://alwasat.ly/news/libya/521723,2026-06-16,approved,already_approved,already_in_editorial_pool,,
اجتماع ثلاثي في طرابلس لبحث تأمين الحدود المشتركة بين ليبيا وتونس والجزائر,Al Wasat,https://alwasat.ly/news/libya/521721,2026-06-16,approved,already_approved,already_in_editorial_pool,,
وزارة التربية والتعليم تقترب من استكمال منصة المؤشرات التربوية,Al Wasat,https://alwasat.ly/news/libya/521717,,unreviewed,review,date_recovery_failed,Governance & Public Services,Education
كاريكاتير خيري - كأس العالم وترامب,Al Wasat,https://alwasat.ly/news/caricature/521436,,unreviewed,rejected,no_libya_angle,Varieties,Society
كاريكاتير خيري - لبنان!,Al Wasat,https://alwasat.ly/news/caricature/521284,,unreviewed,rejected,no_libya_angle,Varieties,Society
كاريكاتير خيري - مونديال 2026,Al Wasat,https://alwasat.ly/news/caricature/520933,,unreviewed,rejected,no_libya_angle,Varieties,Society
كاريكاتير خيري - دور الوسيط الأميركي في لبنان,Al Wasat,https://alwasat.ly/news/caricature/520660,,unreviewed,rejected,no_libya_angle,Varieties,Society
كاريكاتير خيري - نتنياهو.. مجرم الحرب المطلوب لدي المحكمة الجنائية الدولية,Al Wasat,https://alwasat.ly/news/caricature/519899,,unreviewed,rejected,no_libya_angle,Human Rights & Rule of Law,Human Rights
كاريكاتير خيري - تقدم حذر في المحادثات الأمريكية الإيرانية,Al Wasat,https://alwasat.ly/news/caricature/519779,,unreviewed,rejected,irrelevant_foreign_news,,
"Libya, Iraq discuss education cooperation MoU",Libya Observer,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,2026-06-16,approved,already_approved,already_in_editorial_pool,,
"Saddam Haftar, Greek PM review military and economic cooperation",Libya Observer,https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,2026-06-16,approved,already_approved,already_in_editorial_pool,,
"French Ambassador, Khaled Haftar hold talks on military cooperation in Benghazi",Libya Observer,https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,2026-06-16,approved,already_approved,already_in_editorial_pool,,
"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts",Libya Observer,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,2026-06-16,approved,already_approved,already_in_editorial_pool,,
Protesters shut down IOM office in Tripoli over migration policies,Libya Observer,https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,2026-06-16,approved,already_approved,already_in_editorial_pool,,
Abdullah Naker announces initiative to establish Al-Hamada Al-Hamra Region,Libya Observer,https://libyaobserver.ly/news/abdullah-naker-announces-initiative-establish-al-hamada-al-hamra-region,2026-06-16,approved,already_approved,already_in_editorial_pool,,
Delegations arrive in Tripoli for African petroleum training forum,Libya Observer,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,2026-06-16,approved,already_approved,already_in_editorial_pool,,
Egypt reiterates support for Libya’s unity in talks with Malta,Libya Observer,https://libyaobserver.ly/news/egypt-reiterates-support-libyas-unity-talks-malta,2026-06-16,approved,already_approved,already_in_editorial_pool,,
HCS rapporteur criticises UN mission’s role in structured dialogue,Libya Observer,https://libyaobserver.ly/inbrief/hcs-rapporteur-criticises-un-missions-role-structured-dialogue,2026-06-16,approved,already_approved,already_in_editorial_pool,,
Dbeibah discusses border security with Niger’s PM,Libya Observer,https://libyaobserver.ly/inbrief/dbeibah-discusses-border-security-nigers-pm,2026-06-16,approved,already_approved,already_in_editorial_pool,,
NOC signs 3 oil production-sharing agreements with international firms,Libya Observer,https://libyaobserver.ly/economy/noc-signs-3-oil-production-sharing-agreements-international-firms,2026-06-16,approved,already_approved,already_in_editorial_pool,,
Libya Investment Authority announces assets increase to $51.8 billion,Libya Observer,https://libyaobserver.ly/economy/libya-investment-authority-announces-assets-increase-518-billion,2026-06-16,approved,already_approved,already_in_editorial_pool,,
المركزي يعلن نموا قياسيا للمدفوعات الإلكترونية بـ341 مليار دينار - ليبيا الأحرار,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d8%a7%d9%84%d9%85%d8%b1%d9%83%d8%b2%d9%8a-%d9%8a%d8%b9%d9%84%d9%86-%d9%86%d9%85%d9%88%d8%a7-%d9%82%d9%8a%d8%a7%d8%b3%d9%8a%d8%a7-%d9%84%d9%84%d9%85%d8%af%d9%81%d9%88%d8%b9%d8%a7%d8%aa-%d8%a7%d9%84/,2026-06-16,approved,already_approved,already_in_editorial_pool,,
منظمة دعم التبرع بالأعضاء تعلن وفاة مرضى زارعي كلى بسبب انعدام أدوية المناعة منذ 4 أشهر - ليبيا الأحرار,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d9%85%d9%86%d8%b8%d9%85%d8%a9-%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%aa%d8%a8%d8%b1%d8%b9-%d8%a8%d8%a7%d9%84%d8%a3%d8%b9%d8%b6%d8%a7%d8%a1-%d8%aa%d8%b9%d9%84%d9%86-%d9%88%d9%81%d8%a7%d8%a9-%d9%85%d8%b1/,2026-06-16,approved,already_approved,already_in_editorial_pool,,
اجتماع ليبي جزائري تونسي لتعزيز أمن الحدود المشتركة - ليبيا الأحرار,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9-%d9%84%d9%8a%d8%a8%d9%8a-%d8%ac%d8%b2%d8%a7%d8%a6%d8%b1%d9%8a-%d8%aa%d9%88%d9%86%d8%b3%d9%8a-%d9%84%d8%aa%d8%b9%d8%b2%d9%8a%d8%b2-%d8%a3%d9%85%d9%86-%d8%a7%d9%84/,2026-06-16,approved,already_approved,already_in_editorial_pool,,
سرت.. كشف جريمة قتل بالحي الصناعي راح ضحيتها إفريقي - ليبيا الأحرار,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d8%b3%d8%b1%d8%aa-%d9%83%d8%b4%d9%81-%d8%ac%d8%b1%d9%8a%d9%85%d8%a9-%d9%82%d8%aa%d9%84-%d8%a8%d8%a7%d9%84%d8%ad%d9%8a-%d8%a7%d9%84%d8%b5%d9%86%d8%a7%d8%b9%d9%8a-%d8%b1%d8%a7%d8%ad-%d8%b6%d8%ad/,2026-06-16,approved,already_approved,already_in_editorial_pool,,
صحافة المواطن,Ean Libya,https://www.eanlibya.com/%d8%b5%d8%ad%d8%a7%d9%81%d8%a9-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b7%d9%86/,,unreviewed,rejected,no_libya_angle,Varieties,Society
وقفة احتجاجية داخل جامعة طرابلس.. أحد الطلّاب لـ«عين ليبيا»: نطالب بحقّنا في الدراسة,Ean Libya,https://www.eanlibya.com/%d9%88%d9%82%d9%81%d8%a9-%d8%a7%d8%ad%d8%aa%d8%ac%d8%a7%d8%ac%d9%8a%d8%a9-%d8%af%d8%a7%d8%ae%d9%84-%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%b7%d8%b1%d8%a7%d8%a8%d9%84%d8%b3-%d8%a3%d8%ad%d8%af-%d8%a7%d9%84/,2026-06-16,rejected,rejected,sports_only,Varieties,Society
محافظ المركزي يُعلن إطلاق خدمة بطاقات «الفيزا» الدولية بالعملة الأجنبية,Ean Libya,https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%81%d8%b8-%d8%a7%d9%84%d9%85%d8%b1%d9%83%d8%b2%d9%8a-%d9%8a%d9%8f%d8%b9%d9%84%d9%86-%d8%a5%d8%b7%d9%84%d8%a7%d9%82-%d8%ae%d8%af%d9%85%d8%a9-%d8%a8%d8%b7%d8%a7%d9%82%d8%a7%d8%aa/,2026-06-16,approved,already_approved,already_in_editorial_pool,,
