source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
LANA,ar,الأهلي طرابلس والأهلي بنغازي في نهائي كأس ليبيا على أرضية استاد القاهرة الدولي,,https://lana.gov.ly/post.php?lang=ar&id=359041,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 09 يونيو 2026 (وال) - تتجه أنظار جماهير كرة القدم الليبية، مساء اليوم، إلى المباراة النهائية لبطولة كأس ليبيا للموسم الرياضي 2025-2026، والتي تجمع بين الأهلي طرابلس والأهلي بنغازي في مواجهة مرتقبة لحسم لقب البطولة.ومن ا�,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359041,lana,
LANA,ar,الشرطة السويسرية تعثر على جثمان الدكتورة الليبية أبرار بن رمضان .,,https://lana.gov.ly/post.php?lang=ar&id=358708,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,جنييف 04 يونيو 2026 ( وال ) - عثرت الشرطة السويسرية، في المسار نفسه الذي فُقدت فيه الدكتورة الليبية أبرار بن رمضان منذ 2 مايو الماضي ، على جثمانها ، وذلك في مرتفعات منطقة إنترلاكن بسويسرا، فيما لا تزال الفحوصات جارية للتأكد من,Varieties,Varieties,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,5,LOW,A,unique,,rejected,low_editorial_value:5<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:5<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358708,lana,
LANA,ar,يوم الحسم.. النصر والسويحلي في مواجهة نهائية لتحديد بطل الدوري الممتاز,,https://lana.gov.ly/post.php?lang=ar&id=358833,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 06 يونيو 2026 ( وال ) - تتجه أنظار عشاق كرة القدم الليبية مساء اليوم إلى المواجهة المرتقبة التي تجمع بين فريقي النصر والسويحلي في المباراة النهائية الحاسمة لتحديد بطل الدوري الليبي الممتاز لكرة القدم للموسم الرياضي,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358833,lana,
LANA,ar,( وال) خبير أرصاد ليبي: سحب استوائية عبرت ليبيا من الجنوب إلى الشمال في ظاهرة لم أشهد مثيلاً لها منذ 1980.,,https://lana.gov.ly/post.php?lang=ar&id=358819,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,"طرابلس 05 يونيو 2026 م (وال) - كشف خبير الأرصاد الجوية الليبي "" علي ميلاد أبوخريص "" عن رصد ظاهرة مناخية استثنائية وصفها بأنها غير مسبوقة في مسيرته المهنية الممتدة لأكثر من أربعة عقود، تمثلت في تحرك السحب الاستوائية الموسمية من أقصى جنوب ليبيا نحو الشمال، مرورًا بمناطق واسعة من البلاد قبل أن تواصل امتدادها خارج الحدود الليبية، في مشهد قال إنه لم يشهد له مثيلاً منذ تخرجه في الجزائر عام 1980. جاءت ملاحظات "" أبوخريص "" ضمن ورقة بحثية موسعة بعنوان ""المناخ في ليبيا والدورات المناخية طويلة المدى""، استعر",Military & Security,Military & Security,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358819,lana,
LANA,ar,اقتراب موعد الحسم.. النصر والسويحلي يستعدان لنهائي الدوري الليبي في القاهرة,,https://lana.gov.ly/post.php?lang=ar&id=358733,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 4 يونيو 2026 ( وال ) - وصلت بعثتا فريقي النصر والسويحلي خلال اليومين الماضيين إلى العاصمة المصرية القاهرة، استعدادًا لخوض المباراة النهائية الحاسمة لبطولة الدوري الليبي الممتاز لكرة القدم للموسم الرياضي 2025-2026.وكان,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358733,lana,
LANA,ar,الأهلي طرابلس يتوج بكأس ليبيا للمرة الثانية توالياً ويحصد اللقب التاسع في تاريخه,,https://lana.gov.ly/post.php?lang=ar&id=359084,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 09 يونيو 2026 (وال) - توج الأهلي طرابلس بلقب كأس ليبيا لكرة القدم للمرة الثانية على التوالي، بعدما حقق الفوز على الأهلي بنغازي بهدف دون رد في المباراة النهائية التي أقيمت مساء اليوم الثلاثاء على أرضية ملعب القاهرة ا�,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359084,lana,
LANA,ar,رئيس الأركان العامة يشدد على أهمية استيفاء وضمان حقوق مؤسسة الجيش الليبي ومنتسبيها.,,https://lana.gov.ly/post.php?lang=ar&id=358943,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,"طرابلس 07 يونيو 2026(وال)- شدد رئيس الأركان العامة للجيش الليبي، الفريق أول الدكتور "" صلاح الدين النمروش "" على ضرورة متابعة استيفاء وضمان حقوق مؤسسة الجيش الليبي ومنتسبيها. جاء ذلك خلال الاجتماع الذي عقده "" النمروش"" مع رؤساء الأركانات النوعية لمناقشة عدد من الملفات المتعلقة بسير العمل داخل المؤسسة العسكرية. كما أكد خلال الاجتماع على أهمية مضاعفة الجهود للارتقاء بأداء المؤسسة العسكرية والوصول بها إلى المستوى المنشود والعمل على معالجة الصعوبات والتحديات التي تواجه سير العمل بها بما يسهم في تعزيز ا",Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:عسكرية,55,LOW,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358943,lana,
LANA,ar,الصندوق الليبي للاستثمار الداخلي والتنمية يطلق منصة المستثمرين الرقمية الخاصة بمطار طرابلس الدولي,,https://lana.gov.ly/post.php?lang=ar&id=359152,2026-06-10,https://lana.gov.ly/,طرابلس 10 يونيو 2026(وال)- أطلق الصندوق الليبي للاستثمار الداخلي والتنمية اليوم الأربعاء منصة المستثمرين الرقمية الخاصة بمطار طرابلس الدولي، لاستقبال طلبات ... إقرأ المزيد,Varieties,Varieties,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,5,LOW,A,unique,,rejected,low_editorial_value:5<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:5<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359152,lana,
LANA,ar,النمروش يتابع تنفيذ خطة تطوير وتنظيم المؤسسة العسكرية,,https://lana.gov.ly/post.php?lang=ar&id=359144,2026-06-10,https://lana.gov.ly/,"طرابلس 10يونيو 2026 (وال)- بحث رئيس الأركان العامة للجيش الليبي، الفريق أول ""صلاح الدين النمروش""، مع رؤساء الهيئات ومدراء ... إقرأ المزيد",Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:عسكرية,55,LOW,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359144,lana,
LANA,ar,لجنة تنظيم المسابقات بالاتحاد الليبي لكرة القدم تختتم موسم 2025-2026 وتثمن جهود شركاء النجاح,,https://lana.gov.ly/post.php?lang=ar&id=359137,2026-06-10,https://lana.gov.ly/,طرابلس 10 يونيو 2026 (وال)- أصدرت لجنة تنظيم المسابقات بالاتحاد الليبي لكرة القدم بيانًا بمناسبة اختتام منافسات الدوري الليبي الممتاز وكأس ليبيا للموسم ... إقرأ المزيد,Varieties,Varieties,in_range,accepted,keyword_match:ليبيا,10,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359137,lana,
