source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,بالصور.. «الهلال الأحمر» تستقبل حجاج بيت الله الحرام في مطار معيتيقة الدولي,,https://alwasat.ly/news/libya/520910,2026-06-09,https://alwasat.ly/section/libya,متطوعو جمعية الهلال الأحمر الليبي يستقبلون حجاج بيت الله الحرام اليوم الثلاثاء في مطار معيتيقة الدولي.,Politics,Politics,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520910,al_wasat,outside_date_window
Al Wasat,ar,حالة الطقس في ليبيا (الثلاثاء 9 يونيو 2026),,https://alwasat.ly/news/libya/520908,2026-06-09,https://alwasat.ly/section/libya,المركز الوطني للأرصاد الجوية يتوقع حالة الطقس في المدن الليبية اليوم الثلاثاء.,Environment,Environment,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520908,al_wasat,outside_date_window
Al Wasat,ar,هل تستفيد ليبيا من الجمود المستمر في مضيق هرمز؟,,https://alwasat.ly/news/libya/520907,2026-06-09,https://alwasat.ly/section/libya,مراقبون يرجحون أن تستفيد ليبيا من الأزمة المستمرة في مضيق هرمز لا سيما مع عودة الشركات الأجنبية للعمل في البلاد.,Politics,Politics,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520907,al_wasat,outside_date_window
Al Wasat,ar,إعادة الكهرباء لعدة مناطق في بنغازي بعد صيانة محطة الهواري,,https://alwasat.ly/news/libya/520904,2026-06-09,https://alwasat.ly/section/libya,الفرق الفنية بالشركة العامة للكهرباء تتمكن من إصلاح مسار الكوابل المغذية لمحطة الهواري.,Municipalities & Public Services,Municipalities & Public Services,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520904,al_wasat,outside_date_window
Al Wasat,ar,جزء من عملية «إيريني».. إجراء أوروبي جديد ضد أسطول «الشبح الروسي» قبالة سواحل ليبيا,,https://alwasat.ly/news/libya/520894,2026-06-09,https://alwasat.ly/section/libya,مسؤولة السياسة الخارجية في الاتحاد الأوروبي تقول إن الدول الأعضاء في الاتحاد قد أذنت لسفنها النشطة قبالة سواحل ليبيا باحتجاز ناقلات النفط الروسي.,Economy,Oil & Energy,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520894,al_wasat,outside_date_window
Al Wasat,ar,محادثات مصرية - أميركية بشأن تطورات الأوضاع في ليبيا والسودان,,https://alwasat.ly/news/libya/520893,2026-06-09,https://alwasat.ly/section/libya,مكالمة هاتفية بين وزير الخارجية المصري بدر عبدالعاطي وكبير مستشاري الرئيس الأميركي للشؤون العربية والأفريقية مسعد بولس.,Governance,Government,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520893,al_wasat,outside_date_window
Al Wasat,ar,ضبط 6 أشخاص بينهم 5 وافدات في واقعة الاعتداء على فتاة,,https://alwasat.ly/news/libya/520892,2026-06-09,https://alwasat.ly/section/libya,جهاز دعم مديريات الأمن بالمناطق يعلن ضبط 6 أشخاص بينهم 5 سيدات وافدات في واقعة استدراج فتاة إلى أحد الأماكن، وحجز حريتها.,Politics,Security,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520892,al_wasat,outside_date_window
Al Wasat,ar,توقف الرحلات ثم عودة التشغيل وصيانة الطائرة.. ماذا يحدث في شركة الخطوط الجوية الأفريقية؟,,https://alwasat.ly/news/libya/520891,2026-06-09,https://alwasat.ly/section/libya,إدارة شركة الخطوط الجوية الأفريقية تعلن عودة تشغيل رحلاتها وفق جدول زمني جديد,Politics,Politics,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520891,al_wasat,outside_date_window
Al Wasat,ar,في رسالة إلى «المالية».. «المركزي» يحذر من استمرار ارتفاع فاتورة المرتبات,,https://alwasat.ly/news/libya/520889,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520889,al_wasat,missing_date
Al Wasat,ar,تحسن المعروض يهبط بأسعار الدواجن والبيض في الأسواق الليبية,,https://alwasat.ly/news/libya/520887,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520887,al_wasat,missing_date
Al Wasat,ar,توصيات «الحوار المهيكل»: القاعدة الدستورية المرحليَّة الخيار الأكثر واقعية بالمرحلة الانتقالية,,https://alwasat.ly/news/libya/520886,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520886,al_wasat,missing_date
Al Wasat,ar,أسعار الذهب في ليبيا الإثنين (8 يونيو 2026),,https://alwasat.ly/news/libya/520885,2026-06-08,https://alwasat.ly/section/libya,,Politics,Politics,outside_date_window,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,rejected,Publication date outside target window,no,al_wasat:https://alwasat.ly/news/libya/520885,al_wasat,outside_date_window
Al Wasat,ar,لجنة «3+3» العسكرية المشتركة تناقش التحضيرات الخاصة بتمرين «فلينتلوك 2027»,,https://alwasat.ly/news/libya/520880,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520880,al_wasat,missing_date
Al Wasat,ar,قفل جزئي لطريق المطار بطرابلس ثلاثة أيام لاستكمال أعمال الرصف والصيانة,,https://alwasat.ly/news/libya/520874,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520874,al_wasat,missing_date
Al Wasat,ar,تاياني: وضع نشطاء «قافلة الصمود» المحتجزين في ليبيا «معقد»,,https://alwasat.ly/news/libya/520871,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520871,al_wasat,missing_date
Al Wasat,ar,توصيات فريق الحوكمة بالحوار المهيكل المتعلقة بالمسار الدستوري,,https://alwasat.ly/news/libya/520870,,https://alwasat.ly/section/libya,,Governance,Governance,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520870,al_wasat,missing_date
Al Wasat,ar,الطرابلسي خلال لقائه حراك «لا للتوطين»: لن نسمح بأي تواجد غير شرعي داخل ليبيا,,https://alwasat.ly/news/libya/520868,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520868,al_wasat,missing_date
Al Wasat,ar,سليمان يبحث مع «شلمبرجير» تطوير الحقول الهامشية وتأهيل الكفاءات الليبية بقطاع النفط,,https://alwasat.ly/news/libya/520866,,https://alwasat.ly/section/libya,,Economy,Oil & Energy,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520866,al_wasat,missing_date
Al Wasat,ar,مؤشرات تهدئة وتواصل المفاوضات.. «تغطية خاصة» تواكب تطورات الملف الإيراني,,https://alwasat.ly/news/libya/520862,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520862,al_wasat,missing_date
Al Wasat,ar,كاريكاتير خيري - دور الوسيط الأميركي في لبنان,,https://alwasat.ly/news/caricature/520660,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,rejected,global_news_without_libya_angle:لبنان,0,,,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,al_wasat:https://alwasat.ly/news/caricature/520660,al_wasat,not_libya_related
Al Wasat,ar,كاريكاتير خيري - نتنياهو.. مجرم الحرب المطلوب لدي المحكمة الجنائية الدولية,,https://alwasat.ly/news/caricature/519899,,https://alwasat.ly/section/libya,,Human Rights,Human Rights,missing_date,rejected,libya_source_without_article_level_evidence,0,,,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,al_wasat:https://alwasat.ly/news/caricature/519899,al_wasat,not_libya_related
Al Wasat,ar,كاريكاتير خيري - تقدم حذر في المحادثات الأمريكية الإيرانية,,https://alwasat.ly/news/caricature/519779,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,rejected,global_news_without_libya_angle:إيران,0,,,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,al_wasat:https://alwasat.ly/news/caricature/519779,al_wasat,not_libya_related
Al Wasat,ar,كاريكاتير خيري - استمرار أزمة «طوابير الوقود» في ليبيا,,https://alwasat.ly/news/caricature/519709,,https://alwasat.ly/section/libya,,Economy,Oil & Energy,missing_date,accepted,keyword_match:ليبيا,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/caricature/519709,al_wasat,missing_date
Al Wasat,ar,كاريكاتير حليم - الهدنة بين واشنطن وطهران,,https://alwasat.ly/news/caricature/519346,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,rejected,libya_source_without_article_level_evidence,0,,,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,al_wasat:https://alwasat.ly/news/caricature/519346,al_wasat,not_libya_related
Al Wasat,ar,كاريكاتير خيري - حرب ترامب على إيران.. ودمار غزة ولبنان,,https://alwasat.ly/news/caricature/519155,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,rejected,global_news_without_libya_angle:إيران,0,,,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,al_wasat:https://alwasat.ly/news/caricature/519155,al_wasat,not_libya_related
Al Wasat,ar,الحوار المهيكل يرسم 4 سيناريوهات للاقتصاد الليبي.. الدولار بين 5.2 و14.5 دينار بحلول 2027,,https://alwasat.ly/news/libya/520797,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520797,al_wasat,missing_date
Al Wasat,ar,تمويل دولي وثلاثة لقاحات واعدة تحت المجهر لمحاصرة «إيبولا»,,https://alwasat.ly/news/health-medicine/520912,,https://alwasat.ly/section/all,,Politics,Politics,missing_date,accepted,libya_source_topic:health,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/health-medicine/520912,al_wasat,missing_date
Al Wasat,ar,بالفيديو.. صيحات استهجان ضد ترامب في نهائي دوري كرة السلة الأميركي,,https://alwasat.ly/news/international/520911,,https://alwasat.ly/section/all,,Varieties,Varieties,missing_date,rejected,global_news_without_libya_angle:ترامب,0,,,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,al_wasat:https://alwasat.ly/news/international/520911,al_wasat,not_libya_related
