source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,العثور على كميات كبيرة من مخلفات الحرب في غريان,,https://alwasat.ly/news/libya/521754,2026-06-17,https://alwasat.ly/section/libya,جهاز المباحث الجنائية يتعامل مع كميات كبيرة من مخلفات الحرب في غريان.,Varieties,Society,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,60,MEDIUM,A,unique,story-120,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant; insufficient_pics_signal:5<60; promoted during raw-candidate editorial review,no,al_wasat:https://alwasat.ly/news/libya/521754,al_wasat,
Al Wasat,ar,حفتر يفتتح مشروع طريق الباكور الرابط بين توكرة والمرج,,https://alwasat.ly/news/libya/521749,2026-06-16,https://alwasat.ly/section/libya,طريق الباكور الرابط بين مدينتي توكرة والمرج يبلغ طوله 20.6 كيلومتراً.,Varieties,Varieties,in_range,accepted,keyword_match:libya,10,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,al_wasat:https://alwasat.ly/news/libya/521749,al_wasat,
Al Wasat,ar,أسعار الذهب في ليبيا الثلاثاء (16 يونيو 2026),,https://alwasat.ly/news/libya/521747,2026-06-16,https://alwasat.ly/section/libya,أسعار الذهب المسجلة في ليبيا الثلاثاء 16 يونيو 2026.,Varieties,Varieties,in_range,accepted,keyword_match:libya,0,LOW,A,unique,,rejected,daily_market_listing,daily_market_listing,rejected,Reliable date inside target window and Libya-relevant; daily_market_listing,no,al_wasat:https://alwasat.ly/news/libya/521747,al_wasat,
Al Wasat,ar,افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),,https://alwasat.ly/news/libya/521746,2026-06-16,https://alwasat.ly/section/libya,معرض ليبيا الدولي للدفع الإلكتروني تستمر فعالياته يومي 17 و18 يونيو الجاري.,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,60,MEDIUM,A,clustered_cross_source,story-002,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant; insufficient_pics_signal:5<60; promoted during raw-candidate editorial review,no,al_wasat:https://alwasat.ly/news/libya/521746,al_wasat,
Al Wasat,ar,أسعار العملات الأجنبية في السوق الموازية الثلاثاء (16 يونيو 2026),,https://alwasat.ly/news/libya/521724,2026-06-16,https://alwasat.ly/section/libya,أسعار العملات الأجنبية أمام العملة الليبية في السوق الموازية اليوم الثلاثاء.,Economy & Energy,Economy & Energy,in_range,accepted,keyword_match:libya,20,LOW,A,unique,,rejected,daily_market_listing,daily_market_listing,rejected,Reliable date inside target window and Libya-relevant; daily_market_listing,no,al_wasat:https://alwasat.ly/news/libya/521724,al_wasat,
Ean Libya,ar,وقفة احتجاجية داخل جامعة طرابلس.. أحد الطلّاب لـ«عين ليبيا»: نطالب بحقّنا في الدراسة,,https://www.eanlibya.com/%d9%88%d9%82%d9%81%d8%a9-%d8%a7%d8%ad%d8%aa%d8%ac%d8%a7%d8%ac%d9%8a%d8%a9-%d8%af%d8%a7%d8%ae%d9%84-%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%b7%d8%b1%d8%a7%d8%a8%d9%84%d8%b3-%d8%a3%d8%ad%d8%af-%d8%a7%d9%84/,2026-06-16,https://www.eanlibya.com/,أكد عدد من الطلبة المحتجين، في تصريحات لشبكة عين ليبيا، اعتزامهم تنظيم وقفة احتجاجية سلمية داخل جامعة طرابلس صباح الأربعاء، للمطالبة بإيجاد حل لملف الطلبة,Varieties,Varieties,in_range,accepted,editorial_score:15; section:Varieties; marker:analysis_or_opinion,15,LOW,A,unique,,rejected,insufficient_pics_signal:15<60,insufficient_pics_signal,rejected,Reliable date inside target window and Libya-relevant; insufficient_pics_signal:15<60,no,ean_libya:https://www.eanlibya.com/%d9%88%d9%82%d9%81%d8%a9-%d8%a7%d8%ad%d8%aa%d8%ac%d8%a7%d8%ac%d9%8a%d8%a9-%d8%af%d8%a7%d8%ae%d9%84-%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%b7%d8%b1%d8%a7%d8%a8%d9%84%d8%b3-%d8%a3%d8%ad%d8%af-%d8%a7%d9%84/,ean_libya,
LANA,ar,هبوط أسعار الذهب في ليبيا بنسبة 0.22% مقارنة بتعاملات أمس,,https://lana.gov.ly/post.php?lang=ar&id=359590,2026-06-17,https://lana.gov.ly/,طرابلس، 17 يونيو 2026 (وال) – سجّلت أسعار الذهب في السوق الليبية، اليوم الأربعاء، تراجعاً متوسطاً مقارنة بتعاملات أمس، حيث انخفض سعر أونصة الذهب عيار 24 إلى 27 ألفاً و573.49 ديناراً ليبياً، ... إقرأ المزيد,Varieties,Varieties,in_range,accepted,keyword_match:ليبيا,0,LOW,A,unique,,rejected,daily_market_listing,daily_market_listing,rejected,Reliable date inside target window and Libya-relevant; daily_market_listing,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359590,lana,
LANA,ar,اختتام فعاليات يوم الطفل الأفريقي وتكريم الوفود العربية والأفريقية ولجنة الخبراء .,,https://lana.gov.ly/post.php?lang=ar&id=359587,2026-06-17,https://lana.gov.ly/,"طرابلس 17 يونيو 2026 ( وال ) - اختُتمت فعاليات يوم الطفل الأفريقي ، بحضور وزيرة الشؤون الاجتماعية ورئيسة اللجنة العليا للطفولة "" وفاء الكيلاني "" وأعضاء لجنة الخبراء ... إقرأ المزيد",Governance & Public Services,Governance & Public Services,in_range,accepted,keyword_match:طرابلس,35,LOW,A,unique,,rejected,routine_local_service,routine_local_service,rejected,Reliable date inside target window and Libya-relevant; routine_local_service,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359587,lana,
LANA,ar,الملتقى الرابع لمسؤولي التدريب بمنظمة الدول الأفريقية المنتجة للبترول ينطلق غدا بطرابلس,,https://lana.gov.ly/post.php?lang=ar&id=359564,2026-06-16,https://lana.gov.ly/,طرابلس 16 يونيو 2026(وال)- تنطلق يوم غد الاربعاء بطرابلس أعمال الملتقى الرابع لمسؤولي التدريب بمنظمة الدول الأفريقية المنتجة للبترول (APPO) ، بمشاركة مسؤولي ... إقرأ المزيد,Varieties,Varieties,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,5,LOW,A,unique,,rejected,insufficient_pics_signal:5<60,insufficient_pics_signal,rejected,Reliable date inside target window and Libya-relevant; insufficient_pics_signal:5<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359564,lana,
Libya 24,ar,السفير التركي يتفقد مشروعات الإعمار والتنمية في بنغازي - ليبيا 24,,https://libya24.tv/2026/06/16/31442/,2026-06-16,https://libya24.tv/,ليبيا 24: استقبل مدير عام صندوق التنمية وإعادة إعمار ليبيا المهندس بالقاسم حفتر السفير التركي لدى ليبيا غوفن بيجيتش، خلال جولة ميدانية في عدد من مشروعات الإعمار والتنمية بمدينة بنغازي، والتي تنفذها شركات تركية . وشملت الجولة تفقد أعمال تطوير شبكة الطرق والجسور في منطقة جليانة، إضافة إلى متابعة مشروع المدينة الرياضية، حيث تم الاطلاع على نسب الإنجاز ومراحل التنفيذ وآليات العمل . وتعكس الزيارة مستوى التعاون القائم بين صندوق التنمية والشركات التركية، ودورها في دعم مشاريع البنية التحتية وتعزيز مسار ا,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,libya_24:https://libya24.tv/2026/06/16/31442/,libya_24,
