headline,source,promoted,promotion_reason,recovered_date,theme,narrative_type
وزارة التربية والتعليم تقترب من استكمال منصة المؤشرات التربوية,Al Wasat,no,not_promoted:date_recovery_failed,,Education,public_services_item
محاولات للاستيلاء على أموال ليبية في فرنسا,Ean Libya,no,not_promoted:date_recovery_failed,,Society,development
النفط بين التفاؤل والحذر.. ماذا عن الذهب؟,Ean Libya,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
المنفي: الأزمات الوبائية «العابرة للحدود» تتطلب استجابة جماعية فاعلة,Ean Libya,no,not_promoted:date_recovery_failed,,Society,development
ليبيا تستقبل «مومياء تخرخوري» بعد ترميمها,Ean Libya,no,not_promoted:date_recovery_failed,,Other UN News,development
«دار الإفتاء» الليبية تحدد أول أيام السنة الهجرية الجديدة,Ean Libya,no,not_promoted:date_recovery_failed,,Society,development
بعد اختفاء ملياري يورو من حسابات ليبيا.. «علي محمود» يرفض المثول أمام القضاء,Ean Libya,no,not_promoted:date_recovery_failed,,Society,reaction_opposition
خلال عقد من الزمن.. المؤسسة الليبية للاستثمار تُخيب الآمال بتحقيق مكاسب ضئيلة,Ean Libya,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
مصادر تكشف عن قرب صدور قرار تغيير رئيس المؤسسة الليبية للاستثمار,Ean Libya,no,not_promoted:date_recovery_failed,,Other Economic News,decision
حملة أمنية تخلي موقعاً عشوائياً وتضبط مخالفين بالمنطقة الصناعية في بوهديمة - ليبيا 24,Libya 24,yes,review_queue_recovered:url_exact_date; narrative_type=implementation_concern; theme=Other Economic News; marker=كهرباء,2026-06-17,Other Economic News,implementation_concern
جهود الحكومة الليبية وصندوق التنمية.. بثبات نحو إعادة إعمار المدن وتأسيس بنية تحتية متينة لمستقبل أكثر استقرارًا - ليبيا 24,Libya 24,yes,review_queue_recovered:article_text; narrative_type=reaction_support; theme=Other Economic News; marker=كهرباء,2026-06-17,Other Economic News,reaction_support
خبراء أوروبيون: لا يوجد تفسيرًا علميًا لحرائق الأصابعة وسنقدم تقريرًا مفصلًا للجهات المختصة الأيام المقبلة - ليبيا 24,Libya 24,no,not_promoted:date_recovery_failed,,Environmental Risks,municipal_position
الاتحاد الأوروبي يؤكد احترام حق ليبيا السيادي في إدارة الهجرة,RNA Reportage,no,not_promoted:date_recovery_failed,,Migration Policy,development
عقيلة صالح يبحث مع خوري آخر تطورات الأوضاع في ليبيا,RNA Reportage,no,not_promoted:date_recovery_failed,,Other UN News,meeting
خلال اجتماع مع صدام حفتر.. ماكرون يؤكد أهمية دعم المسارات التي تسهم في ترسيخ الاستقرار في ليبيا,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,reaction_support
منهم الصين والفاتيكان.. المنفي يتسلم أوراق اعتماد 8 سفراء جدد لدى ليبيا,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,development
عمر رحومة: ليبيا أمام خيارين والخروج من دوامة المراحل الانتقالية بات ضرورة وطنية,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,statement
هاتف ليبيا تعلن توقف في خدمة الهاتف الثابت اللاسلكي,RNA Reportage,no,not_promoted:date_recovery_failed,,Society,statement
“تبو ليبيا” يعلن ترحيبه بصدور مخرجات الحوار المهيكل,RNA Reportage,no,not_promoted:date_recovery_failed,,Political Process,proposal
محادثات مصرية يونانية حول تطورات الوضع في ليبيا,RNA Reportage,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
Libya and Turkey Expand Economic Cooperation in Benghazi,Libya Review,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
Greece Rescues 80 Migrants from Libya Route,Libya Review,no,not_promoted:date_recovery_failed,,Migration Routes & Trafficking,development
Benghazi Set to Host 1st Annual Arab Media Conference,Libya Review,no,not_promoted:date_recovery_failed,,Society,development
Municipal Theatre in Libya’s Sebha Reopened,Libya Review,no,not_promoted:date_recovery_failed,,Public Administration,public_services_item
Italian Embassy in Libya Inaugurates Archeology Exhibition,Libya Review,no,not_promoted:date_recovery_failed,,Society,development
