source_name,story_clusters,approved_articles,review_items,rejected_items,collection_timestamp
Address Libya,0,0,1,13,2026-06-17T06:52:38Z
Akhbar Libya 24,2,2,1,6,2026-06-17T06:54:35Z
Al Jazeera Arabic - Libya,0,0,3,3,2026-06-17T07:00:20Z
Al Marsad,2,2,1,8,2026-06-17T06:53:05Z
Al Menassa,0,0,1,6,2026-06-17T06:50:23Z
Al Saaa 24,0,0,6,1,2026-06-17T06:55:10Z
Al Sabaah,1,1,0,0,2026-06-17T06:51:53Z
Al Shahed,0,0,0,12,2026-06-17T06:52:56Z
Al Wasat,3,3,34,21,2026-06-17T06:49:09Z
BBC,0,0,13,0,2026-06-17T07:00:04Z
Ean Libya,1,1,9,19,2026-06-17T06:50:02Z
LANA,0,0,0,13,2026-06-17T06:50:36Z
Libya 24,0,0,3,10,2026-06-17T06:51:13Z
Libya Al Ahrar,2,2,0,2,2026-06-17T06:49:25Z
Libya Herald,5,5,4,5,2026-06-17T06:51:33Z
Libya Observer,8,8,15,4,2026-06-17T06:49:15Z
Libya Review,6,6,48,8,2026-06-17T06:52:09Z
Libya Update,1,1,10,5,2026-06-17T06:53:29Z
RNA Reportage,1,1,9,5,2026-06-17T06:51:46Z
Tanasuh,2,2,0,1,2026-06-17T06:54:25Z
