source_name,source_url,fetch_status,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,rejected_date_count,rejected_relevance_count,uncertain_date_count,failed_count,zero_result_reason,error,notes,checked_at
Al Wasat,https://alwasat.ly/section/libya | https://alwasat.ly/feed/ | https://alwasat.ly/rss/ | https://alwasat.ly/?s=UNSMIL+Libya | https://alwasat.ly/?s=structured+dialogue+reaction | https://alwasat.ly/?s=Libya+arrests | https://alwasat.ly/?s=Libya+migrant+smuggling | https://alwasat.ly/?s=Libya+oil+production | https://alwasat.ly/?s=Libya+rain | https://alwasat.ly/?s=Libya+Egypt+talks | https://alwasat.ly/?s=Libya+analysis,ok,809,50,59,27,0,494,288,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:49:09Z
Libya Observer,https://libyaobserver.ly/news | https://libyaobserver.ly/inbrief | https://libyaobserver.ly/economy | https://libyaobserver.ly/?s=UNSMIL+Libya | https://libyaobserver.ly/?s=structured+dialogue+reaction | https://libyaobserver.ly/?s=Libya+arrests | https://libyaobserver.ly/?s=Libya+migrant+smuggling | https://libyaobserver.ly/?s=Libya+oil+production | https://libyaobserver.ly/?s=Libya+rain | https://libyaobserver.ly/?s=Libya+Egypt+talks | https://libyaobserver.ly/?s=Libya+analysis,ok,244,44,100,92,0,32,120,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:49:15Z
Libya Al Ahrar,https://libyaalahrar.tv/category/news/ | https://libyaalahrar.tv/feed/ | https://libyaalahrar.tv/?s=UNSMIL+Libya | https://libyaalahrar.tv/?s=structured+dialogue+reaction | https://libyaalahrar.tv/?s=Libya+arrests | https://libyaalahrar.tv/?s=Libya+migrant+smuggling | https://libyaalahrar.tv/?s=Libya+oil+production | https://libyaalahrar.tv/?s=Libya+rain | https://libyaalahrar.tv/?s=Libya+Egypt+talks | https://libyaalahrar.tv/?s=Libya+analysis,ok,66,36,66,36,29,1,0,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:49:25Z
Ean Libya,https://www.eanlibya.com/ | https://www.eanlibya.com/newsletter/ | https://www.eanlibya.com/feed/ | https://www.eanlibya.com/?s=UNSMIL+Libya | https://www.eanlibya.com/?s=structured+dialogue+reaction | https://www.eanlibya.com/?s=Libya+arrests | https://www.eanlibya.com/?s=Libya+migrant+smuggling | https://www.eanlibya.com/?s=Libya+oil+production | https://www.eanlibya.com/?s=Libya+rain | https://www.eanlibya.com/?s=Libya+Egypt+talks | https://www.eanlibya.com/?s=Libya+analysis,ok,102,38,69,13,43,38,8,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:50:02Z
Al Menassa,https://almenassa.ly/wide-web-1/ | https://almenassa.ly/ | https://almenassa.ly/feed/ | https://almenassa.ly/?s=UNSMIL+Libya | https://almenassa.ly/?s=structured+dialogue+reaction | https://almenassa.ly/?s=Libya+arrests | https://almenassa.ly/?s=Libya+migrant+smuggling | https://almenassa.ly/?s=Libya+oil+production | https://almenassa.ly/?s=Libya+rain | https://almenassa.ly/?s=Libya+Egypt+talks | https://almenassa.ly/?s=Libya+analysis,ok,41,36,32,23,9,9,0,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:50:23Z
LANA,https://lana.gov.ly/category.php?lang=ar&id=8 | https://lana.gov.ly/ | https://lana.gov.ly/feed/ | https://lana.gov.ly/search.php?lang=ar&q=UNSMIL+Libya | https://lana.gov.ly/search.php?lang=ar&q=structured+dialogue+reaction | https://lana.gov.ly/search.php?lang=ar&q=Libya+arrests | https://lana.gov.ly/search.php?lang=ar&q=Libya+migrant+smuggling | https://lana.gov.ly/search.php?lang=ar&q=Libya+oil+production | https://lana.gov.ly/search.php?lang=ar&q=Libya+rain | https://lana.gov.ly/search.php?lang=ar&q=Libya+Egypt+talks | https://lana.gov.ly/search.php?lang=ar&q=Libya+analysis,ok,159,50,159,13,83,63,0,0,all_items_outside_date_window,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:50:36Z
Libya 24,https://libya24.tv/category/news/ | https://libya24.tv/ | https://libya24.tv/feed/ | https://libya24.tv/?s=UNSMIL+Libya | https://libya24.tv/?s=structured+dialogue+reaction | https://libya24.tv/?s=Libya+arrests | https://libya24.tv/?s=Libya+migrant+smuggling | https://libya24.tv/?s=Libya+oil+production | https://libya24.tv/?s=Libya+rain | https://libya24.tv/?s=Libya+Egypt+talks | https://libya24.tv/?s=Libya+analysis,ok,224,50,224,72,24,117,11,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:51:13Z
Libya Herald,https://libyaherald.com/category/libya/ | https://libyaherald.com/ | https://libyaherald.com/feed/ | https://libyaherald.com/?s=UNSMIL+Libya | https://libyaherald.com/?s=structured+dialogue+reaction | https://libyaherald.com/?s=Libya+arrests | https://libyaherald.com/?s=Libya+migrant+smuggling | https://libyaherald.com/?s=Libya+oil+production | https://libyaherald.com/?s=Libya+rain | https://libyaherald.com/?s=Libya+Egypt+talks | https://libyaherald.com/?s=Libya+analysis,ok,126,46,70,61,9,24,32,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:51:33Z
RNA Reportage,https://reportage.ly/ | https://reportage.ly/category/news/ | https://reportage.ly/feed/ | https://reportage.ly/?s=UNSMIL+Libya | https://reportage.ly/?s=structured+dialogue+reaction | https://reportage.ly/?s=Libya+arrests | https://reportage.ly/?s=Libya+migrant+smuggling | https://reportage.ly/?s=Libya+oil+production | https://reportage.ly/?s=Libya+rain | https://reportage.ly/?s=Libya+Egypt+talks | https://reportage.ly/?s=Libya+analysis,ok,63,18,55,6,23,26,8,0,no_article_links_found,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Environment; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests']; contextual_pass=section_coverage:Varieties",2026-06-17T06:51:46Z
Al Sabaah,https://alsabaah.ly/category/libya/ | https://alsabaah.ly/ | https://alsabaah.ly/feed/ | https://alsabaah.ly/?s=UNSMIL+Libya | https://alsabaah.ly/?s=structured+dialogue+reaction | https://alsabaah.ly/?s=Libya+arrests | https://alsabaah.ly/?s=Libya+migrant+smuggling | https://alsabaah.ly/?s=Libya+oil+production | https://alsabaah.ly/?s=Libya+rain | https://alsabaah.ly/?s=Libya+Egypt+talks | https://alsabaah.ly/?s=Libya+analysis,ok,19,19,10,0,1,18,0,0,selector_failed,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Environment; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:51:53Z
