source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,duplicate_status,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Sabaah,ar,HomePage - منصة الصباح,,https://alsabaah.ly/,2023-11-09,يوم واحد مضت التعليقات على الكيلاني واليونيسف تبحثان تعزيز حماية الطفل وتطوير الرعاية الاجتماعية مغلقة بحثت وزيرة الشؤون الاجتماعية وفاء الكيلاني مع المدير الإقليمي لمنظمة اليونيسف سبل تعزيز التعاون المشترك في مجال حماية الطفل وتطوير خدمات الرعاية الاجتماعية، خلال اجتماع عقد بمقر الوزارة. وناقش الجانبان … أسبوعين مضت التعليقات على وزير الدولة لشؤون المرأة تبحث مع الأمم المتحدة تمكين المرأة مغلقة أسبوعين مضت التعليقات على الشؤون الاجتماعية: نواقص في الوثائق تُعلّق منحة الأبناء مغلقة ساعة واحدة مض,United Nations,Government,parsed,rejected,non_article_url,unique,rejected,"Rejected because URL is a listing, search, tag, category, or other non-article page",no,al_sabaah:https://alsabaah.ly/,generic_list,non_article_url
Al Sabaah,ar,استعادة كلمة المرور,,https://alsabaah.ly/wp-login.php?action=lostpassword&redirect_to=https%3A%2F%2Falsabaah.ly,,,Politics,Politics,missing_date,rejected,libya_source_without_article_level_evidence,unique,rejected,Rejected by Libya relevance filter,no,al_sabaah:https://alsabaah.ly/wp-login.php?action=lostpassword&redirect_to=https%3a%2f%2falsabaah.ly,generic_list,not_libya_related
Al Sabaah,ar,وقفة احتجاجية أمام مقر مفوضية اللاجئين رفضا لتوطين المهاجرين - منصة الصباح,,https://alsabaah.ly/%d9%88%d9%82%d9%81%d8%a9-%d8%a7%d8%ad%d8%aa%d8%ac%d8%a7%d8%ac%d9%8a%d8%a9-6/,2026-06-04,نظم محتجون وقفة احتجاجية أمام مقر المفوضية السامية لشؤون اللاجئين في طرابلس، رفضا لأي مخططات لتوطين المهاجرين واللاجئين في ليبيا,Migration,Migration,outside_date_window,accepted,keyword_match:ليبيا,unique,rejected,Publication date outside target window,no,al_sabaah:https://alsabaah.ly/%d9%88%d9%82%d9%81%d8%a9-%d8%a7%d8%ad%d8%aa%d8%ac%d8%a7%d8%ac%d9%8a%d8%a9-6/,generic_list,outside_date_window
Al Sabaah,ar,محافظ مصرف ليبيا المركزي يتحصل على جائزة “محافظ العام 2026” في باريس - منصة الصباح,,https://alsabaah.ly/%d8%ac%d8%a7%d8%a6%d8%b2%d8%a9-3/,2026-06-04,"ساعة واحدة مضت أخبار , اقتصاد اضف تعليق 0 زيارة 10 دقائق مضت ساعتين مضت 4 ساعات مضت تحصل محافظ مصرف ليبيا المركزي، ناجي محمد عيسى، على جائزة “محافظ العام 2026” التي يمنحها اتحاد المصارف العربية، وذلك خلال فعاليات القمة المصرفية والاقتصادية الأوروبية – العربية التي عُقدت بالعاصمة الفرنسية باريس، برعاية فخرية من الرئيس الفرنسي إيمانويل ماكرون، وبمشاركة واسعة من قيادات القطاع المالي والمصرفي عربياً ودولياً . ويعكس منح هذه الجائزة حجم النجاحات التي حققها مصرف ليبيا المركزي خلال الفترة الماضية، خاصة ",Economy,Banking,outside_date_window,accepted,keyword_match:ليبيا,unique,rejected,Publication date outside target window,no,al_sabaah:https://alsabaah.ly/%d8%ac%d8%a7%d8%a6%d8%b2%d8%a9-3/,generic_list,outside_date_window
Al Sabaah,ar,الشرطة السياحية وحماية الآثار تعلن اكتشاف مقبرة رومانية في بن جواد وتأمين الموقع - منصة الصباح,,https://alsabaah.ly/%d8%a7%d9%84%d8%b4%d8%b1%d8%b7%d8%a9-%d8%a7%d9%84%d8%b3%d9%8a%d8%a7%d8%ad%d9%8a%d8%a9-7/,2026-06-04,أعلن جهاز الشرطة السياحية وحماية الآثار، عن العثور على موقع يُشتبه في كونه أثرياً أثناء أعمال حفر لتنفيذ أحد مشروعات الطرق,Politics,Politics,outside_date_window,accepted,libya_source_topic:أمن,unique,rejected,Publication date outside target window,no,al_sabaah:https://alsabaah.ly/%d8%a7%d9%84%d8%b4%d8%b1%d8%b7%d8%a9-%d8%a7%d9%84%d8%b3%d9%8a%d8%a7%d8%ad%d9%8a%d8%a9-7/,generic_list,outside_date_window
Al Sabaah,ar,صالون الجابر يوثّق التاريخ ويكرّم ناجي الحربي في البيضاء - منصة الصباح,,https://alsabaah.ly/%d8%b5%d8%a7%d9%84%d9%88%d9%86-%d8%a7%d9%84%d8%ac%d8%a7%d8%a8%d8%b1-2/,2026-06-04,شهد صالون الجابر الثقافي بمدينة البيضاء، بمقر مجلة “الليبي” بشارع النسيم، أمسية ثقافية جمعت بين القراءة الفكرية واستحضار رموز,Politics,Politics,outside_date_window,accepted,keyword_match:ليبي,unique,rejected,Publication date outside target window,no,al_sabaah:https://alsabaah.ly/%d8%b5%d8%a7%d9%84%d9%88%d9%86-%d8%a7%d9%84%d8%ac%d8%a7%d8%a8%d8%b1-2/,generic_list,outside_date_window
Al Sabaah,ar,مجلة FI ALMUANATH تنشر مقالا عن الروائية نجوى بن شتوان، هذا ترجمته - منصة الصباح,,https://alsabaah.ly/%d8%a8%d9%86-%d8%b4%d8%aa%d9%88%d8%a7%d9%86-3/,2026-06-03,غدت نجوى بن شتوان واحدة من أبرز الأصوات الثقافية في العالم العربي، وذلك بفضل موهبتها النادرة في تحويل التاريخ والذاكرة والهوية الليبية,Varieties,Varieties,outside_date_window,accepted,keyword_match:ليبيا,unique,rejected,Publication date outside target window,no,al_sabaah:https://alsabaah.ly/%d8%a8%d9%86-%d8%b4%d8%aa%d9%88%d8%a7%d9%86-3/,generic_list,outside_date_window
Al Sabaah,ar,إعلان دعوة لحضور اجتماع الجمعية العمومية (العادية وغير العادية) لشركة القافلة للتأمين - منصة الصباح,,https://alsabaah.ly/%d8%b4%d8%b1%d9%83%d8%a9-%d8%a7%d9%84%d9%82%d8%a7%d9%81%d9%84%d8%a9-%d9%84%d9%84%d8%aa%d8%a3%d9%85%d9%8a%d9%86/,2026-06-03,"يوم واحد مضت إعلانات , الرئيسية التعليقات على إعلان دعوة لحضور اجتماع الجمعية العمومية (العادية وغير العادية) لشركة القافلة للتأمين مغلقة 31 زيارة أسبوع واحد مضت أسبوع واحد مضت أسبوعين مضت الوسوم الجمعية العمومية شركة القافلة للتأمين الاستاذة / نعيمة الطاهر بداية قد لايلاقي كلامي هذا اسنحسان الكثيرين ورضاهم ، لكني ومن …",Politics,Politics,parsed,rejected,libya_source_without_article_level_evidence,unique,rejected,Rejected by Libya relevance filter,no,al_sabaah:https://alsabaah.ly/%d8%b4%d8%b1%d9%83%d8%a9-%d8%a7%d9%84%d9%82%d8%a7%d9%81%d9%84%d8%a9-%d9%84%d9%84%d8%aa%d8%a3%d9%85%d9%8a%d9%86/,generic_list,not_libya_related
Al Sabaah,ar,"مسرح المرج يطلق فعاليات ""دورة الفنان علي ناصر"" لإعداد جيل جديد من المبدعين - منصة الصباح",,https://alsabaah.ly/%d8%a7%d9%84%d9%81%d9%86%d8%a7%d9%86-%d8%b9%d9%84%d9%8a-%d9%86%d8%a7%d8%b5%d8%b1/,2026-06-02,"يومين مضت أخبار , فن التعليقات على مسرح المرج يطلق فعاليات “دورة الفنان علي ناصر” لإعداد جيل جديد من المبدعين مغلقة 26 زيارة 10 دقائق مضت ساعة واحدة مضت ساعتين مضت انطلقت بمسرح المرج فعاليات “ورشة المرج المسرحية الثانية” التي تحمل اسم الفنان الراحل علي ناصر للمسرح والموسيقى والفنون الأخرى، وذلك ضمن الموسم المسرحي الذي ينظمه المسرح بهدف دعم المواهب الشابة وصقل قدراتها الفنية. وقال مدير مسرح المرج، عاشور بوشوق، إن الورشة تُقام تحت إشراف الخبير المسرحي الفنان عبدالسيد آدم، وبدأت أعمالها بافتتاح شعب",Politics,Politics,in_range,accepted,keyword_match:ليبي,unique,approved,Reliable date inside target window and Libya-relevant,yes,al_sabaah:https://alsabaah.ly/%d8%a7%d9%84%d9%81%d9%86%d8%a7%d9%86-%d8%b9%d9%84%d9%8a-%d9%86%d8%a7%d8%b5%d8%b1/,generic_list,
Al Sabaah,ar,الفحص المبكر والتطعيم والعلاجات الحديثة تغيّر معركة النساء مع سرطان عنق الرحم - منصة الصباح,,https://alsabaah.ly/%d8%b3%d8%b1%d8%b7%d8%a7%d9%86-%d8%b9%d9%86%d9%82-%d8%a7%d9%84%d8%b1%d8%ad%d9%85/,2026-06-01,رغم تصنيفه عالمياً ضمن أكثر الأورام تهديداً لصحة النساء، يؤكد مختصون أن سرطان عنق الرحم من أكثر أنواع السرطان القابلة للوقاية والكشف المبكر,Health,Health,in_range,accepted,keyword_match:ليبيا,unique,approved,Reliable date inside target window and Libya-relevant,yes,al_sabaah:https://alsabaah.ly/%d8%b3%d8%b1%d8%b7%d8%a7%d9%86-%d8%b9%d9%86%d9%82-%d8%a7%d9%84%d8%b1%d8%ad%d9%85/,generic_list,
